ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
667	"ENSG00000179222.13"	"MAGED1"	chrX	+	51640890	51643392	51640890	51641289	51643277	51643392
704	"ENSG00000100258.13"	"LMF2"	chr22	-	50943485	50943966	50943485	50943582	50943831	50943966
741	"ENSG00000183963.14"	"SMTN"	chr22	+	31495047	31495882	31495047	31495165	31495647	31495882
798	"ENSG00000141959.12"	"PFKL"	chr21	+	45739233	45741758	45739233	45739298	45741611	45741758
800	"ENSG00000141959.12"	"PFKL"	chr21	+	45744738	45745943	45744738	45744800	45745843	45745943
866	"ENSG00000124228.10"	"DDX27"	chr20	+	47850104	47852768	47850104	47850246	47852686	47852768
948	"ENSG00000125691.8"	"RPL23"	chr17	-	37006333	37008985	37006333	37006467	37008856	37008985
964	"ENSG00000213024.6"	"NUP62"	chr19	-	50430950	50432761	50430950	50431072	50432673	50432761
1050	"ENSG00000104518.6"	"GSDMD"	chr8	+	144641946	144643593	144641946	144642139	144643539	144643593
1091	"ENSG00000092929.7"	"UNC13D"	chr17	-	73835919	73836410	73835919	73836023	73836305	73836410
1160	"ENSG00000130734.5"	"ATG4D"	chr19	+	10657514	10657929	10657514	10657751	10657864	10657929
1172	"ENSG00000198258.6"	"UBL5"	chr19	+	9939002	9939351	9939002	9939065	9939267	9939351
1264	"ENSG00000169738.3"	"DCXR"	chr17	-	79994066	79994519	79994066	79994184	79994419	79994519
1289	"ENSG00000007384.11"	"RHBDF1"	chr16	-	108971	109347	108971	109091	109246	109347
1343	"ENSG00000182473.16"	"EXOC7"	chr17	-	74083734	74084643	74083734	74083801	74084544	74084643
1381	"ENSG00000136450.8"	"SRSF1"	chr17	-	56082283	56083334	56082283	56082402	56083161	56083334
1432	"ENSG00000141736.9"	"ERBB2"	chr17	+	37871992	37872858	37871992	37872192	37872767	37872858
1480	"ENSG00000108591.5"	"DRG2"	chr17	+	18002330	18003749	18002330	18002391	18003676	18003749
1578	"ENSG00000100316.11"	"RPL3"	chr22	-	39709195	39710213	39709195	39709315	39710111	39710213
1748	"ENSG00000214078.7"	"CPNE1"	chr20	-	34218360	34218956	34218360	34218412	34218822	34218956
1773	"ENSG00000167962.8"	"ZNF598"	chr16	-	2052521	2053729	2052521	2052733	2053616	2053729
1939	"ENSG00000243708.4"	"PLA2G4B"	chr15	+	42133428	42134147	42133428	42133471	42134016	42134147
1966	"ENSG00000105677.7"	"TMEM147"	chr19	+	36037573	36038142	36037573	36037710	36038020	36038142
1982	"ENSG00000160948.9"	"VPS28"	chr8	-	145650100	145651155	145650100	145650202	145651065	145651155
2132	"ENSG00000157353.12"	"FUK"	chr16	+	70500784	70501869	70500784	70500857	70501788	70501869
2410	"ENSG00000140983.9"	"RHOT2"	chr16	+	718487	718699	718487	718569	718658	718699
2820	"ENSG00000104957.9"	"CCDC130"	chr19	+	13869681	13870086	13869681	13869824	13869924	13870086
2999	"ENSG00000161960.10"	"EIF4A1"	chr17	+	7479841	7480483	7479841	7480008	7480373	7480483
3066	"ENSG00000110844.9"	"PRPF40B"	chr12	+	50025642	50026663	50025642	50025708	50026637	50026663
3138	"ENSG00000104964.10"	"AES"	chr19	-	3052907	3055724	3052907	3054038	3055661	3055724
3177	"ENSG00000102225.11"	"CDK16"	chrX	+	47085363	47086102	47085363	47085426	47085981	47086102
3201	"ENSG00000197958.8"	"RPL12"	chr9	-	130211888	130213684	130211888	130211987	130213328	130213684
3202	"ENSG00000197958.8"	"RPL12"	chr9	-	130211888	130213684	130211888	130211987	130213559	130213684
3207	"ENSG00000221968.4"	"FADS3"	chr11	-	61643830	61645687	61643830	61643927	61645626	61645687
3269	"ENSG00000142910.11"	"TINAGL1"	chr1	+	32048749	32050402	32048749	32048842	32050278	32050402
3273	"ENSG00000142910.11"	"TINAGL1"	chr1	+	32051040	32052356	32051040	32051086	32052310	32052356
3529	"ENSG00000160818.12"	"GPATCH4"	chr1	-	156565872	156567913	156565872	156566040	156567826	156567913
3534	"ENSG00000172638.8"	"EFEMP2"	chr11	-	65634315	65634550	65634315	65634405	65634491	65634550
