ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
644	"ENSG00000125676.15"	"THOC2"	chrX	-	122753251	122753368	122753251	122753287	122754038	122754521
652	"ENSG00000068366.15"	"ACSL4"	chrX	-	108926364	108926604	108926364	108926601	108939372	108939425
655	"ENSG00000068366.15"	"ACSL4"	chrX	-	108926364	108926781	108926364	108926604	108939372	108939425
656	"ENSG00000068366.15"	"ACSL4"	chrX	-	108926364	108926895	108926364	108926604	108939372	108939425
659	"ENSG00000068366.15"	"ACSL4"	chrX	-	108926364	108926604	108926364	108926601	108976367	108976632
665	"ENSG00000123562.12"	"MORF4L2"	chrX	-	102933426	102933548	102933426	102933528	102940098	102940188
667	"ENSG00000123562.12"	"MORF4L2"	chrX	-	102933426	102933579	102933426	102933548	102940098	102940188
668	"ENSG00000133142.13"	"TCEAL4"	chrX	+	102840897	102841219	102841146	102841219	102840490	102840552
669	"ENSG00000133142.13"	"TCEAL4"	chrX	+	102840786	102841219	102841146	102841219	102840542	102840611
681	"ENSG00000196440.7"	"ARMCX4"	chrX	+	100741009	100741079	100741012	100741079	100673897	100673988
702	"ENSG00000068400.9"	"GRIPAP1"	chrX	-	48847337	48847522	48847337	48847514	48853661	48853769
714	"ENSG00000156313.8"	"RPGR"	chrX	-	38146346	38147294	38146346	38146498	38150211	38150277
722	"ENSG00000131831.13"	"RAI2"	chrX	-	17855656	17855853	17855656	17855850	17878628	17878827
754	"ENSG00000100417.7"	"PMM1"	chr22	-	41979962	41980376	41979962	41980062	41980530	41980607
759	"ENSG00000100242.11"	"SUN2"	chr22	-	39135346	39135431	39135346	39135428	39135726	39135948
774	"ENSG00000100284.16"	"TOM1"	chr22	+	35718991	35719170	35719020	35719170	35713869	35713954
788	"ENSG00000183963.14"	"SMTN"	chr22	+	31492983	31493324	31493254	31493324	31492718	31492883
789	"ENSG00000183963.14"	"SMTN"	chr22	+	31495047	31495882	31495730	31495882	31494652	31494826
790	"ENSG00000183963.14"	"SMTN"	chr22	+	31495647	31495882	31495730	31495882	31495047	31495165
800	"ENSG00000187860.6"	"CCDC157"	chr22	+	30766314	30767716	30767638	30767716	30765420	30765592
877	"ENSG00000100181.17"	"TPTEP1"	chr22	+	17128494	17128675	17128552	17128675	17119468	17119630
882	"ENSG00000142173.10"	"COL6A2"	chr21	+	47545330	47545531	47545378	47545531	47544798	47544834
900	"ENSG00000160191.13"	"PDE9A"	chr21	+	44119022	44119121	44119077	44119121	44108026	44108104
924	"ENSG00000159131.12"	"GART"	chr21	-	34911476	34911662	34911476	34911629	34914853	34915126
940	"ENSG00000258366.3"	"RTEL1"	chr20	+	62321318	62321563	62321439	62321563	62321198	62321218
951	"ENSG00000101158.8"	"NELFCD"	chr20	+	57568678	57569294	57569164	57569294	57568052	57568167
977	"ENSG00000101104.8"	"PABPC1L"	chr20	+	43561697	43561826	43561712	43561826	43561322	43561354
994	"ENSG00000080845.13"	"DLGAP4"	chr20	+	35127990	35128079	35128005	35128079	35125849	35126005
1011	"ENSG00000078699.17"	"CBFA2T2"	chr20	+	32228146	32228337	32228149	32228337	32224445	32224514
1038	"ENSG00000125846.11"	"ZNF133"	chr20	+	18286311	18286451	18286324	18286451	18285728	18285822
1047	"ENSG00000089057.10"	"SLC23A2"	chr20	-	4951438	4951565	4951438	4951561	4982051	4982153
1079	"ENSG00000063241.3"	"ISOC2"	chr19	-	55966626	55966745	55966626	55966697	55967715	55967856
1122	"ENSG00000129451.7"	"KLK10"	chr19	-	51522298	51522398	51522298	51522395	51522882	51523020
1144	"ENSG00000142541.12"	"RPL13A"	chr19	+	49993488	49993833	49993731	49993833	49993106	49993179
1243	"ENSG00000104518.6"	"GSDMD"	chr8	+	144643171	144643593	144643539	144643593	144642772	144642941
1288	"ENSG00000105726.12"	"ATP13A1"	chr19	-	19760549	19762606	19760549	19760749	19763403	19763529
1321	"ENSG00000224078.8"	"SNHG14"	chr15	+	25315266	25315406	25315272	25315406	25312558	25312678
1369	"ENSG00000105576.11"	"TNPO2"	chr19	-	12816495	12816644	12816495	12816582	12816823	12816923
1372	"ENSG00000105576.11"	"TNPO2"	chr19	-	12834062	12834179	12834062	12834174	12834582	12834825
1411	"ENSG00000125733.13"	"TRIP10"	chr19	+	6746443	6746572	6746462	6746572	6744810	6745005
1477	"ENSG00000118046.10"	"STK11"	chr19	+	1220371	1220716	1220579	1220716	1219322	1219412
1480	"ENSG00000099817.7"	"POLR2E"	chr19	-	1090085	1090144	1090085	1090140	1093902	1095374
1515	"ENSG00000169738.3"	"DCXR"	chr17	-	79994066	79994324	79994066	79994184	79994419	79994519
1518	"ENSG00000134440.7"	"NARS"	chr18	-	55282872	55283207	55282872	55282962	55287800	55287883
1553	"ENSG00000007384.11"	"RHBDF1"	chr16	-	108971	109125	108971	109091	109246	109347
1554	"ENSG00000007384.11"	"RHBDF1"	chr16	-	108971	109125	108971	109091	109416	109492
1555	"ENSG00000007384.11"	"RHBDF1"	chr16	-	108971	109347	108971	109091	109416	109492
1556	"ENSG00000007384.11"	"RHBDF1"	chr16	-	108971	109347	108971	109125	109416	109492
1579	"ENSG00000101639.14"	"CEP192"	chr18	+	13057583	13059311	13059080	13059311	13055778	13056697
1580	"ENSG00000101639.14"	"CEP192"	chr18	+	13116372	13116502	13116375	13116502	13104982	13105078
1581	"ENSG00000101639.14"	"CEP192"	chr18	+	13116372	13116502	13116375	13116502	13114128	13114250
1595	"ENSG00000132199.14"	"ENOSF1"	chr18	-	690548	690745	690548	690631	691067	691106
1601	"ENSG00000104936.13"	"DMPK"	chr19	-	46274228	46274318	46274228	46274314	46274825	46274923
