ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
101	"ENSG00000213397.6"	"HAUS7"	chrX	-	152730445	152730513	152734603	152734719	152728067	152728129	152735907	152736603
105	"ENSG00000156500.10"	"FAM122C"	chrX	+	133981912	133982001	133983196	133983258	133981412	133981505	133986829	133986926
106	"ENSG00000156500.10"	"FAM122C"	chrX	+	133983196	133983258	133986829	133986926	133981412	133981505	133988120	133988213
107	"ENSG00000156500.10"	"FAM122C"	chrX	+	133983196	133983258	133986829	133986926	133981912	133982001	133988120	133988320
113	"ENSG00000188917.10"	"TRMT2B"	chrX	-	100296305	100296360	100306239	100306722	100292905	100293040	100306805	100307072
119	"ENSG00000082458.7"	"DLG3"	chrX	+	69713225	69713325	69715257	69715303	69712370	69712446	69718369	69718420
121	"ENSG00000126012.7"	"KDM5C"	chrX	-	53247457	53247580	53250020	53250098	53246977	53247148	53253921	53254604
122	"ENSG00000068400.9"	"GRIPAP1"	chrX	-	48847337	48847514	48849839	48849990	48847096	48847144	48853661	48853769
123	"ENSG00000068400.9"	"GRIPAP1"	chrX	-	48847337	48847522	48849839	48849990	48847096	48847144	48853661	48853769
125	"ENSG00000126756.7"	"UXT"	chrX	-	47516581	47516689	47516970	47517038	47511479	47511543	47517180	47517262
127	"ENSG00000069509.5"	"FUNDC1"	chrX	-	44386482	44386611	44397712	44397788	44382884	44383521	44401190	44401347
130	"ENSG00000215301.5"	"DDX3X"	chrX	+	41202468	41202604	41202989	41203075	41201989	41202089	41203282	41203381
134	"ENSG00000157625.11"	"TAB3"	chrX	-	30852167	30852269	30861082	30861166	30848453	30849692	30864667	30864761
142	"ENSG00000077942.13"	"FBLN1"	chr22	+	45927144	45927204	45928942	45929044	45923726	45923889	45929640	45929778
144	"ENSG00000241484.5"	"ARHGAP8"	chr22	+	45110470	45110551	45121123	45121172	45098354	45098488	45122456	45122514
148	"ENSG00000196419.8"	"XRCC6"	chr22	+	42054255	42054356	42057334	42057448	42052906	42053036	42059625	42060038
149	"ENSG00000100401.15"	"RANGAP1"	chr22	-	41657449	41657584	41660667	41660847	41653951	41654110	41664100	41664160
154	"ENSG00000100211.6"	"CBY1"	chr22	+	39052960	39053148	39061550	39061690	39052680	39052755	39064021	39064137
156	"ENSG00000100129.13"	"EIF3L"	chr22	+	38251571	38251651	38254685	38254747	38247286	38247497	38258975	38259045
157	"ENSG00000100129.13"	"EIF3L"	chr22	+	38273680	38274178	38282771	38282852	38271847	38272018	38284432	38284486
158	"ENSG00000100379.13"	"KCTD17"	chr22	+	37456862	37456962	37457143	37457215	37455352	37455478	37457578	37457669
160	"ENSG00000100003.13"	"SEC14L2"	chr22	+	30811747	30811854	30811936	30812076	30806584	30806668	30812222	30812392
162	"ENSG00000100209.5"	"HSCB"	chr22	+	29139869	29139966	29147228	29147276	29138018	29138319	29153065	29153498
163	"ENSG00000100209.5"	"HSCB"	chr22	+	29141851	29141996	29147228	29147276	29140602	29140692	29153065	29153198
168	"ENSG00000100028.7"	"SNRPD3"	chr22	+	24953624	24953768	24963951	24964144	24951470	24952039	24967883	24968740
177	"ENSG00000160191.13"	"PDE9A"	chr21	+	44163885	44163970	44171225	44171307	44153465	44153536	44174099	44174174
190	"ENSG00000205670.6"	"SMIM11"	chr21	+	35757775	35757942	35772008	35772197	35751726	35751815	35774388	35775075
192	"ENSG00000249624.4"	"AP000295.9"	chr21	+	34640698	34640822	34648900	34649058	34624966	34625135	34652056	34652223
199	"ENSG00000101096.15"	"NFATC2"	chr20	-	50015179	50015267	50048603	50049293	50003493	50007988	50051724	50051851
200	"ENSG00000101040.15"	"ZMYND8"	chr20	-	45920539	45920632	45923409	45923523	45918930	45919018	45927472	45927616
