ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
600	"ENSG00000131002.7"	"TXLNG2P"	chrY	+	21755284	21759551	21755284	21755479	21759476	21759551
736	"ENSG00000100225.13"	"FBXO7"	chr22	+	32883731	32889268	32883731	32883815	32889091	32889268
944	"ENSG00000125691.8"	"RPL23"	chr17	-	37006333	37008985	37006333	37006467	37008856	37008985
960	"ENSG00000213024.6"	"NUP62"	chr19	-	50430950	50432761	50430950	50431072	50432673	50432761
1101	"ENSG00000105122.8"	"RASAL3"	chr19	-	15562434	15563626	15562434	15562749	15563468	15563626
1166	"ENSG00000198258.6"	"UBL5"	chr19	+	9939002	9939351	9939002	9939065	9939267	9939351
1173	"ENSG00000223705.5"	"NSUN5P1"	chr7	+	75044869	75045469	75044869	75045048	75045380	75045469
1259	"ENSG00000169738.3"	"DCXR"	chr17	-	79994066	79994519	79994066	79994184	79994419	79994519
1284	"ENSG00000007384.11"	"RHBDF1"	chr16	-	108971	109347	108971	109091	109246	109347
1287	"ENSG00000007384.11"	"RHBDF1"	chr16	-	108971	109347	108971	109125	109296	109347
1339	"ENSG00000182473.16"	"EXOC7"	chr17	-	74083734	74084643	74083734	74083801	74084544	74084643
1377	"ENSG00000136450.8"	"SRSF1"	chr17	-	56082283	56083334	56082283	56082402	56083161	56083334
1428	"ENSG00000141736.9"	"ERBB2"	chr17	+	37871992	37872858	37871992	37872192	37872767	37872858
1481	"ENSG00000171962.13"	"LRRC48"	chr17	+	17896078	17897732	17896078	17896403	17897612	17897732
1555	"ENSG00000159176.9"	"CSRP1"	chr1	-	201454410	201458112	201454410	201454504	201458000	201458112
1564	"ENSG00000178761.10"	"FAM219B"	chr15	-	75192332	75195127	75192332	75192478	75194944	75195127
1576	"ENSG00000100316.11"	"RPL3"	chr22	-	39709195	39710213	39709195	39709315	39710111	39710213
1746	"ENSG00000214078.7"	"CPNE1"	chr20	-	34218360	34218956	34218360	34218412	34218822	34218956
1872	"ENSG00000140398.9"	"NEIL1"	chr15	+	75644942	75646833	75644942	75645042	75646771	75646833
1963	"ENSG00000105677.7"	"TMEM147"	chr19	+	36037573	36038142	36037573	36037710	36038020	36038142
1982	"ENSG00000160948.9"	"VPS28"	chr8	-	145650328	145651591	145650328	145651155	145651562	145651591
2078	"ENSG00000173575.14"	"CHD2"	chr15	+	93486072	93489095	93486072	93486298	93489050	93489095
2115	"ENSG00000092010.10"	"PSME1"	chr14	+	24606193	24606640	24606193	24606226	24606529	24606640
2131	"ENSG00000157353.12"	"FUK"	chr16	+	70500784	70501869	70500784	70500857	70501788	70501869
2378	"ENSG00000065357.15"	"DGKA"	chr12	+	56345406	56346215	56345406	56345567	56346124	56346215
2488	"ENSG00000129467.9"	"ADCY4"	chr14	-	24791271	24792660	24791271	24791430	24792549	24792660
2614	"ENSG00000128951.9"	"DUT"	chr15	+	48633485	48634592	48633485	48633560	48634218	48634592
2649	"ENSG00000105426.10"	"PTPRS"	chr19	-	5218430	5219478	5218430	5218543	5219320	5219478
2822	"ENSG00000104957.9"	"CCDC130"	chr19	+	13869681	13870086	13869681	13869824	13869924	13870086
3086	"ENSG00000162032.11"	"SPSB3"	chr16	-	1827747	1828613	1827747	1827873	1828134	1828613
3200	"ENSG00000197958.8"	"RPL12"	chr9	-	130211888	130213684	130211888	130211987	130213559	130213684
3269	"ENSG00000142910.11"	"TINAGL1"	chr1	+	32051040	32052356	32051040	32051086	32052310	32052356
3462	"ENSG00000082068.4"	"WDR70"	chr5	+	37721216	37725152	37721216	37721317	37725035	37725152
3776	"ENSG00000186088.11"	"GSAP"	chr7	-	76958649	76959684	76958649	76958708	76959498	76959684
