ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
644	"ENSG00000125676.15"	"THOC2"	chrX	-	122753251	122753368	122753251	122753287	122754038	122754521
652	"ENSG00000068366.15"	"ACSL4"	chrX	-	108926364	108926604	108926364	108926601	108939372	108939425
655	"ENSG00000068366.15"	"ACSL4"	chrX	-	108926364	108926781	108926364	108926604	108939372	108939425
656	"ENSG00000068366.15"	"ACSL4"	chrX	-	108926364	108926895	108926364	108926604	108939372	108939425
664	"ENSG00000123562.12"	"MORF4L2"	chrX	-	102933426	102933548	102933426	102933528	102940098	102940188
666	"ENSG00000123562.12"	"MORF4L2"	chrX	-	102933426	102933579	102933426	102933548	102940098	102940188
667	"ENSG00000133142.13"	"TCEAL4"	chrX	+	102840897	102841219	102841146	102841219	102840490	102840552
668	"ENSG00000133142.13"	"TCEAL4"	chrX	+	102840786	102841219	102841146	102841219	102840542	102840611
679	"ENSG00000184867.9"	"ARMCX2"	chrX	-	100914061	100914134	100914061	100914122	100914393	100914487
701	"ENSG00000068400.9"	"GRIPAP1"	chrX	-	48847337	48847522	48847337	48847514	48853661	48853769
707	"ENSG00000102312.16"	"PORCN"	chrX	+	48368171	48368344	48368280	48368344	48367811	48368095
721	"ENSG00000131831.13"	"RAI2"	chrX	-	17855656	17855853	17855656	17855850	17878628	17878827
757	"ENSG00000100307.8"	"CBX7"	chr22	-	39530405	39530757	39530405	39530478	39537375	39537441
758	"ENSG00000100242.11"	"SUN2"	chr22	-	39135346	39135431	39135346	39135428	39135726	39135948
763	"ENSG00000184381.14"	"PLA2G6"	chr22	-	38565224	38565478	38565224	38565474	38576331	38576411
767	"ENSG00000100083.14"	"GGA1"	chr22	+	38009030	38009198	38009125	38009198	38005072	38005363
775	"ENSG00000100284.16"	"TOM1"	chr22	+	35718991	35719170	35719020	35719170	35713869	35713954
776	"ENSG00000100284.16"	"TOM1"	chr22	+	35718991	35719170	35719020	35719170	35717951	35718012
790	"ENSG00000183963.14"	"SMTN"	chr22	+	31492983	31493324	31493254	31493324	31492718	31492883
876	"ENSG00000100181.17"	"TPTEP1"	chr22	+	17128494	17128675	17128552	17128675	17119468	17119630
877	"ENSG00000100181.17"	"TPTEP1"	chr22	+	17128494	17128675	17128552	17128675	17128057	17128147
890	"ENSG00000141959.12"	"PFKL"	chr21	+	45733795	45736222	45736126	45736222	45733520	45733565
902	"ENSG00000182093.10"	"WRB"	chr21	+	40800157	40800454	40800249	40800454	40782794	40782863
924	"ENSG00000159131.12"	"GART"	chr21	-	34911476	34911662	34911476	34911629	34914853	34915126
925	"ENSG00000205930.4"	"C21orf49"	chr21	+	34157085	34157230	34157107	34157230	34144460	34144583
938	"ENSG00000101246.15"	"ARFRP1"	chr20	-	62338350	62338449	62338350	62338444	62339161	62339190
977	"ENSG00000101104.8"	"PABPC1L"	chr20	+	43561697	43561826	43561712	43561826	43560982	43561073
978	"ENSG00000101104.8"	"PABPC1L"	chr20	+	43561697	43561826	43561712	43561826	43561322	43561354
1011	"ENSG00000078699.17"	"CBFA2T2"	chr20	+	32228146	32228337	32228149	32228337	32224445	32224514
1018	"ENSG00000149531.10"	"FRG1B"	chr20	+	29612878	29613061	29612961	29613061	29612260	29612397
1047	"ENSG00000089057.10"	"SLC23A2"	chr20	-	4951438	4951565	4951438	4951561	4982051	4982153
1049	"ENSG00000088826.13"	"SMOX"	chr20	+	4162735	4163495	4163129	4163495	4162449	4162623
1080	"ENSG00000063241.3"	"ISOC2"	chr19	-	55966626	55966745	55966626	55966697	55967715	55967856
1099	"ENSG00000167613.11"	"LAIR1"	chr19	-	54875901	54876093	54875901	54875937	54876636	54876706
1111	"ENSG00000125691.8"	"RPL23"	chr17	-	37004117	37004310	37004117	37004292	37008856	37008985
1125	"ENSG00000129451.7"	"KLK10"	chr19	-	51522298	51522398	51522298	51522395	51522882	51523020
1126	"ENSG00000129451.7"	"KLK10"	chr19	-	51522298	51522398	51522298	51522395	51523075	51523282
1154	"ENSG00000154027.14"	"AK5"	chr1	+	77752625	77752812	77752627	77752812	77748286	77749296
1234	"ENSG00000186017.10"	"ZNF566"	chr19	-	36936020	36940903	36936020	36937017	36963812	36963911
1286	"ENSG00000152234.11"	"ATP5A1"	chr18	-	43675018	43675097	43675018	43675089	43678137	43678319
1325	"ENSG00000224078.8"	"SNHG14"	chr15	+	25315266	25315406	25315272	25315406	25312558	25312678
1332	"ENSG00000168066.16"	"SF1"	chr11	-	64532077	64533627	64532077	64532990	64534663	64534723
1355	"ENSG00000123143.8"	"PKN1"	chr19	+	14578376	14578605	14578529	14578605	14574871	14574965
1371	"ENSG00000105607.8"	"GCDH"	chr19	+	13008116	13008677	13008516	13008677	13007723	13007827
1407	"ENSG00000223705.5"	"NSUN5P1"	chr7	+	75044869	75045469	75045380	75045469	75044397	75044512
1408	"ENSG00000223705.5"	"NSUN5P1"	chr7	+	75045258	75045469	75045380	75045469	75044869	75045048
1455	"ENSG00000130332.10"	"LSM7"	chr19	-	2324123	2324195	2324123	2324191	2325978	2326138
1520	"ENSG00000169738.3"	"DCXR"	chr17	-	79994066	79994324	79994066	79994184	79994419	79994519
1531	"ENSG00000196118.7"	"C16orf93"	chr16	-	30771604	30771989	30771604	30771774	30772518	30772550
1558	"ENSG00000007384.11"	"RHBDF1"	chr16	-	108971	109125	108971	109091	109246	109347
1559	"ENSG00000007384.11"	"RHBDF1"	chr16	-	108971	109125	108971	109091	109296	109347
1560	"ENSG00000007384.11"	"RHBDF1"	chr16	-	108971	109125	108971	109091	109416	109492
1561	"ENSG00000007384.11"	"RHBDF1"	chr16	-	108971	109347	108971	109091	109416	109492
