ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
310	"ENSG00000184867.9"	"ARMCX2"	chrX	-	100914393	100914487	100914404	100914487	100914061	100914122
315	"ENSG00000188917.10"	"TRMT2B"	chrX	-	100306772	100307105	100306805	100307105	100297030	100297301
343	"ENSG00000102312.16"	"PORCN"	chrX	+	48367811	48368095	48367811	48367965	48368171	48368344
348	"ENSG00000156313.8"	"RPGR"	chrX	-	38146346	38147294	38147113	38147294	38135839	38136025
377	"ENSG00000100284.16"	"TOM1"	chr22	+	35717951	35718030	35717951	35718012	35718991	35719170
386	"ENSG00000100003.13"	"SEC14L2"	chr22	+	30811747	30812076	30811747	30811854	30812222	30812392
387	"ENSG00000239282.3"	"GATSL3"	chr22	-	30683143	30683276	30683210	30683276	30682813	30682937
395	"ENSG00000100209.5"	"HSCB"	chr22	+	29140602	29140697	29140602	29140692	29147228	29147276
419	"ENSG00000100075.5"	"SLC25A1"	chr22	-	19165239	19165554	19165454	19165554	19164632	19164717
428	"ENSG00000141959.12"	"PFKL"	chr21	+	45744738	45745943	45744738	45744800	45746041	45746147
461	"ENSG00000130703.11"	"OSBPL2"	chr20	+	60854212	60854405	60854212	60854395	60855064	60855277
462	"ENSG00000130703.11"	"OSBPL2"	chr20	+	60854212	60854405	60854212	60854395	60856113	60856221
603	"ENSG00000267107.2"	"AC011526.1"	chr19	-	42000447	42001335	42001209	42001335	41984988	41985192
621	"ENSG00000055950.12"	"MRPL43"	chr10	-	102746443	102746732	102746505	102746732	102743511	102743574
622	"ENSG00000055950.12"	"MRPL43"	chr10	-	102746443	102746732	102746505	102746732	102743790	102743831
631	"ENSG00000239382.6"	"ALKBH6"	chr19	-	36503902	36503991	36503922	36503991	36502305	36502366
636	"ENSG00000011600.7"	"TYROBP"	chr19	-	36399069	36399197	36399076	36399197	36398347	36398482
639	"ENSG00000089356.12"	"FXYD3"	chr19	+	35613668	35613858	35613668	35613743	35614174	35614212
655	"ENSG00000105700.6"	"KXD1"	chr19	+	18668571	18668759	18668571	18668724	18671229	18671360
665	"ENSG00000127527.9"	"EPS15L1"	chr19	-	16513125	16513296	16513131	16513296	16504761	16504812
676	"ENSG00000037757.9"	"MRI1"	chr19	+	13876767	13876943	13876767	13876879	13879374	13879684
683	"ENSG00000182944.13"	"EWSR1"	chr22	+	29684594	29687588	29684594	29684775	29688125	29688158
701	"ENSG00000198258.6"	"UBL5"	chr19	+	9939002	9939069	9939002	9939065	9939267	9939351
704	"ENSG00000174652.13"	"ZNF266"	chr19	-	9544740	9544911	9544750	9544911	9530740	9530894
760	"ENSG00000230258.2"	"AC002539.1"	chr17	-	68015603	68015733	68015628	68015733	68013464	68013533
774	"ENSG00000007384.11"	"RHBDF1"	chr16	-	109246	109347	109296	109347	108971	109091
775	"ENSG00000007384.11"	"RHBDF1"	chr16	-	109246	109347	109296	109347	108971	109125
798	"ENSG00000178719.12"	"GRINA"	chr8	+	145066045	145066541	145066045	145066246	145066632	145066776
809	"ENSG00000248049.2"	"UBA6-AS1"	chr4	+	68586139	68586769	68586139	68586350	68587194	68588223
859	"ENSG00000160469.12"	"BRSK1"	chr19	+	55798581	55798671	55798581	55798667	55800847	55800988
861	"ENSG00000147121.11"	"KRBOX4"	chrX	+	46322632	46322743	46322632	46322728	46330576	46330620
875	"ENSG00000181513.10"	"ACBD4"	chr17	+	43212707	43212963	43212707	43212959	43213208	43213320
922	"ENSG00000167536.9"	"DHRS13"	chr17	-	27229600	27230089	27229835	27230089	27228510	27228634
959	"ENSG00000119979.11"	"FAM45A"	chr10	+	120867459	120867676	120867459	120867608	120877030	120877179
970	"ENSG00000171962.13"	"LRRC48"	chr17	+	17896078	17896403	17896078	17896225	17897612	17897732
995	"ENSG00000141504.7"	"SAT2"	chr17	-	7530680	7531120	7530870	7531120	7530460	7530544
1018	"ENSG00000167711.9"	"SERPINF2"	chr17	+	1648626	1648699	1648626	1648689	1649001	1649203
1019	"ENSG00000167711.9"	"SERPINF2"	chr17	+	1648626	1648699	1648626	1648689	1650312	1650456
1022	"ENSG00000108953.12"	"YWHAE"	chr17	-	1265195	1265302	1265223	1265302	1264385	1264592
1034	"ENSG00000159176.9"	"CSRP1"	chr1	-	201457982	201458112	201458000	201458112	201454410	201454504
1041	"ENSG00000169592.10"	"INO80E"	chr16	+	30014970	30015035	30014970	30014991	30015888	30015978
1105	"ENSG00000140939.10"	"NOL3"	chr16	+	67205054	67205360	67205054	67205155	67207910	67207949
1128	"ENSG00000156873.11"	"PHKG2"	chr16	+	30762426	30762924	30762426	30762538	30764552	30764618
1151	"ENSG00000188603.12"	"CLN3"	chr16	-	28493425	28493703	28493647	28493703	28489057	28489198
1164	"ENSG00000174628.12"	"IQCK"	chr16	+	19775169	19775434	19775169	19775222	19800159	19800244
1167	"ENSG00000110719.5"	"TCIRG1"	chr11	+	67815113	67815439	67815113	67815271	67816345	67816464
1171	"ENSG00000183426.11"	"NPIPA1"	chr16	+	15029016	15029254	15029016	15029133	15031421	15031507
1190	"ENSG00000214078.7"	"CPNE1"	chr20	-	34218360	34218956	34218822	34218956	34215201	34215335
1193	"ENSG00000214078.7"	"CPNE1"	chr20	-	34252681	34252848	34252723	34252848	34243123	34243266
1201	"ENSG00000103145.6"	"HCFC1R1"	chr16	-	3073233	3073969	3073847	3073969	3072625	3072999
1232	"ENSG00000103227.14"	"LMF1"	chr16	-	984189	984254	984243	984254	981641	981793
1246	"ENSG00000185596.12"	"WASH3P"	chr15	+	102506277	102506430	102506277	102506426	102512795	102512897
1263	"ENSG00000140543.9"	"DET1"	chr15	-	89073853	89074946	89074843	89074946	89070829	89071017
1278	"ENSG00000102901.8"	"CENPT"	chr16	-	67863667	67865261	67865118	67865261	67863325	67863419
1279	"ENSG00000102901.8"	"CENPT"	chr16	-	67865656	67865793	67865743	67865793	67865118	67865261
1300	"ENSG00000105193.4"	"RPS16"	chr19	-	39924161	39924401	39924304	39924401	39923846	39924058
1360	"ENSG00000168970.16"	"JMJD7-PLA2G4B"	chr15	+	42128672	42129138	42128672	42128749	42129265	42132428
1361	"ENSG00000243708.4"	"PLA2G4B"	chr15	+	42134390	42135421	42134390	42134474	42135873	42136009
1376	"ENSG00000104381.8"	"GDAP1"	chr8	+	75263508	75263701	75263508	75263556	75274118	75274213
1389	"ENSG00000105677.7"	"TMEM147"	chr19	+	36037573	36037931	36037573	36037710	36038020	36038142
1398	"ENSG00000160948.9"	"VPS28"	chr8	-	145651408	145651591	145651562	145651591	145651065	145651155
1403	"ENSG00000115307.12"	"AUP1"	chr2	-	74755877	74756409	74756258	74756409	74755543	74755616
1482	"ENSG00000213918.6"	"DNASE1"	chr16	+	3707720	3707868	3707720	3707817	3712646	3712805
1502	"ENSG00000164088.13"	"PPM1M"	chr3	+	52282168	52282469	52282168	52282253	52282652	52282716
1511	"ENSG00000131797.8"	"CLUHP3"	chr16	+	31717210	31717355	31717210	31717315	31717741	31717775
1531	"ENSG00000100938.13"	"GMPR2"	chr14	+	24707794	24708009	24707794	24707954	24708163	24708446
1542	"ENSG00000157353.12"	"FUK"	chr16	+	70500784	70501374	70500784	70500857	70501788	70501869
1601	"ENSG00000176170.9"	"SPHK1"	chr17	+	74381531	74382218	74381531	74381735	74382301	74382396
1642	"ENSG00000133678.9"	"TMEM254"	chr10	+	81841900	81841973	81841900	81841960	81845986	81846197
1655	"ENSG00000089157.11"	"RPLP0"	chr12	-	120636656	120636803	120636697	120636803	120635124	120635265
1662	"ENSG00000124155.12"	"PIGT"	chr20	+	44045156	44045334	44045156	44045294	44047491	44047619
1671	"ENSG00000204842.10"	"ATXN2"	chr12	-	111923068	111923135	111923074	111923135	111920590	111920635
1672	"ENSG00000186298.7"	"PPP1CC"	chr12	-	111160276	111160500	111160428	111160500	111159939	111160074
1689	"ENSG00000238105.3"	"GOLGA2B"	chr12	-	100561113	100561221	100561114	100561221	100560831	100560919
1770	"ENSG00000197111.11"	"PCBP2"	chr12	+	53854114	53854470	53854114	53854209	53854798	53854927
1798	"ENSG00000126249.3"	"PDCD2L"	chr19	+	34895553	34895895	34895553	34895720	34900065	34900415
1873	"ENSG00000215021.4"	"PHB2"	chr12	-	7078660	7078740	7078669	7078740	7077573	7077750
1902	"ENSG00000150433.5"	"TMEM218"	chr11	-	124972532	124972705	124972629	124972705	124971096	124971199
1910	"ENSG00000154134.10"	"ROBO3"	chr11	+	124747414	124747648	124747414	124747554	124748193	124748332
1912	"ENSG00000154134.10"	"ROBO3"	chr11	+	124747414	124748027	124747414	124747648	124748193	124748332
1913	"ENSG00000154134.10"	"ROBO3"	chr11	+	124747414	124747648	124747414	124747554	124748479	124748692
1924	"ENSG00000166261.6"	"ZNF202"	chr11	-	123611100	123611244	123611124	123611244	123601194	123601693
1944	"ENSG00000196655.5"	"TRAPPC4"	chr11	+	118889852	118890134	118889852	118890027	118892469	118892596
1981	"ENSG00000165516.6"	"KLHDC2"	chr14	+	50246312	50246524	50246312	50246393	50246930	50247040
2047	"ENSG00000175634.10"	"RPS6KB2"	chr11	+	67200422	67200665	67200422	67200513	67200810	67200918
2052	"ENSG00000174197.12"	"MGA"	chr15	+	42028378	42028896	42028378	42028566	42032103	42032401
2097	"ENSG00000112146.12"	"FBXO9"	chr6	+	52938278	52938437	52938278	52938436	52941283	52941341
2133	"ENSG00000138614.10"	"VWA9"	chr15	-	65899496	65899780	65899639	65899780	65897466	65897570
2138	"ENSG00000149100.8"	"EIF3M"	chr11	+	32615411	32616559	32615411	32615495	32617511	32617593
2148	"ENSG00000172830.8"	"SSH3"	chr11	+	67074308	67074584	67074308	67074433	67074841	67074907
2159	"ENSG00000070081.11"	"NUCB2"	chr11	+	17308180	17308264	17308180	17308260	17312786	17312912
2160	"ENSG00000070081.11"	"NUCB2"	chr11	+	17308180	17308264	17308180	17308260	17316870	17317014
2177	"ENSG00000132275.6"	"RRP8"	chr11	-	6622155	6622832	6622378	6622832	6621898	6622005
2240	"ENSG00000070047.7"	"PHRF1"	chr11	+	581491	581606	581491	581597	581961	582081
2244	"ENSG00000185187.8"	"SIGIRR"	chr11	-	406842	406993	406875	406993	406348	406538
2247	"ENSG00000142102.11"	"ATHL1"	chr11	+	292885	292997	292885	292983	293067	293235
2253	"ENSG00000185480.7"	"PARPBP"	chr12	+	102547646	102547767	102547646	102547754	102559506	102559661
2297	"ENSG00000121578.8"	"B4GALT4"	chr3	-	118959611	118959725	118959696	118959725	118948693	118949091
2307	"ENSG00000155256.13"	"ZFYVE27"	chr10	+	99498233	99498431	99498233	99498406	99504485	99504672
2342	"ENSG00000121274.8"	"PAPD5"	chr16	+	50258801	50258922	50258801	50258905	50259149	50259196
2364	"ENSG00000162032.11"	"SPSB3"	chr16	-	1827946	1828613	1828134	1828613	1827747	1827873
2387	"ENSG00000095787.17"	"WAC"	chr10	+	28903495	28905291	28903495	28903614	28906585	28906713
2413	"ENSG00000187134.8"	"AKR1C1"	chr10	+	5009118	5010578	5009118	5009235	5011013	5011136
