ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
708	"ENSG00000205593.7"	"DENND6B"	chr22	-	50754453	50754904	50754453	50754516	50754798	50754904
877	"ENSG00000088340.11"	"FER1L4"	chr20	-	34147110	34148405	34147110	34147394	34148306	34148405
900	"ENSG00000196209.8"	"SIRPB2"	chr20	-	1460344	1460710	1460344	1460439	1460638	1460710
945	"ENSG00000125691.8"	"RPL23"	chr17	-	37006333	37008985	37006333	37006467	37008856	37008985
1046	"ENSG00000104518.6"	"GSDMD"	chr8	+	144641946	144643593	144641946	144642139	144643539	144643593
1102	"ENSG00000105122.8"	"RASAL3"	chr19	-	15562434	15563626	15562434	15562749	15563468	15563626
1121	"ENSG00000123143.8"	"PKN1"	chr19	+	14580152	14580800	14580152	14580329	14580723	14580800
1259	"ENSG00000169738.3"	"DCXR"	chr17	-	79994066	79994519	79994066	79994184	79994419	79994519
1284	"ENSG00000007384.11"	"RHBDF1"	chr16	-	108971	109347	108971	109091	109246	109347
1338	"ENSG00000182473.16"	"EXOC7"	chr17	-	74083734	74084643	74083734	74083801	74084544	74084643
1350	"ENSG00000167861.11"	"HID1"	chr17	-	72959059	72960727	72959059	72959176	72960577	72960727
1377	"ENSG00000136450.8"	"SRSF1"	chr17	-	56082283	56083334	56082283	56082402	56083161	56083334
1428	"ENSG00000141736.9"	"ERBB2"	chr17	+	37871992	37872858	37871992	37872192	37872767	37872858
1448	"ENSG00000154451.10"	"GBP5"	chr1	-	89727902	89729631	89727902	89728084	89729418	89729631
1555	"ENSG00000159176.9"	"CSRP1"	chr1	-	201454410	201458112	201454410	201454504	201458000	201458112
1564	"ENSG00000178761.10"	"FAM219B"	chr15	-	75192332	75195127	75192332	75192478	75194944	75195127
1576	"ENSG00000100316.11"	"RPL3"	chr22	-	39709195	39710213	39709195	39709315	39710111	39710213
1746	"ENSG00000214078.7"	"CPNE1"	chr20	-	34218360	34218956	34218360	34218412	34218822	34218956
1771	"ENSG00000167962.8"	"ZNF598"	chr16	-	2052521	2053729	2052521	2052733	2053616	2053729
1845	"ENSG00000102901.8"	"CENPT"	chr16	-	67863667	67865261	67863667	67863991	67865118	67865261
1979	"ENSG00000160948.9"	"VPS28"	chr8	-	145650100	145651155	145650100	145650202	145651065	145651155
1983	"ENSG00000160948.9"	"VPS28"	chr8	-	145650328	145651591	145650328	145651155	145651562	145651591
2003	"ENSG00000187994.9"	"RINL"	chr19	-	39361717	39362510	39361717	39361867	39362437	39362510
2080	"ENSG00000173575.14"	"CHD2"	chr15	+	93486072	93489095	93486072	93486298	93489050	93489095
2117	"ENSG00000092010.10"	"PSME1"	chr14	+	24606193	24606640	24606193	24606226	24606529	24606640
2198	"ENSG00000136155.12"	"SCEL"	chr13	+	78176199	78177270	78176199	78176259	78177210	78177270
2202	"ENSG00000100299.13"	"ARSA"	chr22	-	51065018	51065834	51065018	51065188	51065593	51065834
2381	"ENSG00000065357.15"	"DGKA"	chr12	+	56345406	56346215	56345406	56345567	56346124	56346215
2822	"ENSG00000104957.9"	"CCDC130"	chr19	+	13869681	13870086	13869681	13869824	13869924	13870086
3001	"ENSG00000161960.10"	"EIF4A1"	chr17	+	7479841	7480483	7479841	7480008	7480373	7480483
3087	"ENSG00000162032.11"	"SPSB3"	chr16	-	1827747	1828613	1827747	1827873	1828134	1828613
3178	"ENSG00000102225.11"	"CDK16"	chrX	+	47085363	47086102	47085363	47085426	47085981	47086102
3202	"ENSG00000197958.8"	"RPL12"	chr9	-	130211888	130213684	130211888	130211987	130213328	130213684
3203	"ENSG00000197958.8"	"RPL12"	chr9	-	130211888	130213684	130211888	130211987	130213559	130213684
3263	"ENSG00000159377.6"	"PSMB4"	chr1	+	151372917	151373831	151372917	151373064	151373714	151373831
3265	"ENSG00000156345.13"	"CDK20"	chr9	-	90584108	90585812	90584108	90584264	90585482	90585812
3271	"ENSG00000142910.11"	"TINAGL1"	chr1	+	32048749	32050402	32048749	32048842	32050278	32050402
3275	"ENSG00000142910.11"	"TINAGL1"	chr1	+	32051040	32052356	32051040	32051086	32052310	32052356
3302	"ENSG00000089195.10"	"TRMT6"	chr20	-	5921698	5922682	5921698	5921785	5922596	5922682
3469	"ENSG00000082068.4"	"WDR70"	chr5	+	37721216	37725152	37721216	37721317	37725035	37725152
3503	"ENSG00000178038.12"	"ALS2CL"	chr3	-	46716055	46717892	46716055	46716229	46717734	46717892
3738	"ENSG00000126088.8"	"UROD"	chr1	+	45479580	45480508	45479580	45479742	45480407	45480508
3866	"ENSG00000143549.15"	"TPM3"	chr1	-	154143124	154145454	154143124	154143187	154145383	154145454
3993	"ENSG00000182484.10"	"WASH6P"	chrX	+	155253784	155255331	155253784	155253937	155254905	155255331
4188	"ENSG00000204472.8"	"AIF1"	chr6	+	31583446	31584283	31583446	31583513	31584120	31584283
4244	"ENSG00000108671.5"	"PSMD11"	chr17	+	30806268	30807215	30806268	30806394	30807163	30807215
4429	"ENSG00000204301.5"	"NOTCH4"	chr6	-	32168893	32171659	32168893	32169277	32171546	32171659
4542	"ENSG00000113597.13"	"TRAPPC13"	chr5	+	64956525	64960211	64956525	64956724	64960060	64960211
