ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
300	"ENSG00000101844.13"	"ATG4A"	chrX	+	107381033	107381221	107381033	107381114	107381342	107381421
307	"ENSG00000147206.12"	"NXF3"	chrX	-	102334690	102335144	102335075	102335144	102334511	102334570
324	"ENSG00000131089.9"	"ARHGEF9"	chrX	-	62974183	62974556	62974194	62974556	62944411	62944591
414	"ENSG00000100075.5"	"SLC25A1"	chr22	-	19165239	19165554	19165454	19165554	19164632	19164717
455	"ENSG00000130703.11"	"OSBPL2"	chr20	+	60854212	60854405	60854212	60854395	60856113	60856221
478	"ENSG00000101052.8"	"IFT52"	chr20	+	42233641	42233856	42233641	42233713	42242489	42242616
492	"ENSG00000088340.11"	"FER1L4"	chr20	-	34147889	34148405	34148306	34148405	34147110	34147394
495	"ENSG00000100983.5"	"GSS"	chr20	-	33530290	33530809	33530733	33530809	33529515	33529632
517	"ENSG00000196209.8"	"SIRPB2"	chr20	-	1460570	1460710	1460638	1460710	1460344	1460439
530	"ENSG00000149923.9"	"PPP4C"	chr16	+	30094714	30095102	30094714	30094888	30095986	30096176
554	"ENSG00000167757.9"	"KLK11"	chr19	-	51527889	51528050	51527893	51528050	51527300	51527637
561	"ENSG00000142534.2"	"RPS11"	chr19	+	50000450	50001303	50000450	50000852	50002768	50002946
594	"ENSG00000131115.11"	"ZNF227"	chr19	+	44732598	44732786	44732598	44732725	44733885	44733969
603	"ENSG00000267107.2"	"AC011526.1"	chr19	-	42000447	42001335	42001209	42001335	41984988	41985192
621	"ENSG00000055950.12"	"MRPL43"	chr10	-	102746443	102746732	102746505	102746732	102743511	102743574
634	"ENSG00000011600.7"	"TYROBP"	chr19	-	36399069	36399197	36399076	36399197	36398347	36398482
671	"ENSG00000037757.9"	"MRI1"	chr19	+	13876767	13876943	13876767	13876879	13879374	13879684
678	"ENSG00000182944.13"	"EWSR1"	chr22	+	29684594	29687588	29684594	29684775	29688125	29688158
691	"ENSG00000130734.5"	"ATG4D"	chr19	+	10655632	10655806	10655632	10655672	10662720	10662797
699	"ENSG00000174652.13"	"ZNF266"	chr19	-	9544740	9544911	9544750	9544911	9530740	9530894
732	"ENSG00000071564.10"	"TCF3"	chr19	-	1615283	1615820	1615684	1615820	1612205	1612429
737	"ENSG00000117481.6"	"NSUN4"	chr1	+	46810472	46810816	46810472	46810634	46818539	46818700
755	"ENSG00000164078.8"	"MST1R"	chr3	-	49933147	49933313	49933300	49933313	49932599	49932806
771	"ENSG00000007384.11"	"RHBDF1"	chr16	-	109246	109347	109296	109347	108971	109091
804	"ENSG00000248049.2"	"UBA6-AS1"	chr4	+	68586139	68586769	68586139	68586350	68587194	68588223
834	"ENSG00000108654.7"	"DDX5"	chr17	-	62496666	62498187	62498127	62498187	62495733	62496444
835	"ENSG00000068745.10"	"IP6K2"	chr3	-	48732126	48732854	48732522	48732854	48731891	48731958
844	"ENSG00000068097.10"	"HEATR6"	chr17	-	58144791	58145093	58144794	58145093	58143569	58143747
858	"ENSG00000147121.11"	"KRBOX4"	chrX	+	46322632	46322743	46322632	46322728	46330576	46330620
916	"ENSG00000130414.7"	"NDUFA10"	chr2	-	240957940	240958056	240957969	240958056	240957231	240957322
929	"ENSG00000129347.15"	"KRI1"	chr19	-	10675604	10676466	10676392	10676466	10673404	10673513
1014	"ENSG00000108953.12"	"YWHAE"	chr17	-	1265195	1265302	1265223	1265302	1264385	1264592
1026	"ENSG00000159176.9"	"CSRP1"	chr1	-	201457982	201458112	201458000	201458112	201454410	201454504
1033	"ENSG00000169592.10"	"INO80E"	chr16	+	30014970	30015035	30014970	30014991	30015888	30015978
1038	"ENSG00000244045.6"	"TMEM199"	chr17	+	26684669	26684928	26684669	26684904	26686337	26686427
1156	"ENSG00000110719.5"	"TCIRG1"	chr11	+	67815113	67815439	67815113	67815271	67816345	67816464
1158	"ENSG00000254681.2"	"PKD1P5"	chr16	-	18468688	18468926	18468809	18468926	18462114	18462243
1181	"ENSG00000214078.7"	"CPNE1"	chr20	-	34252681	34252848	34252723	34252848	34243123	34243266
1189	"ENSG00000103145.6"	"HCFC1R1"	chr16	-	3073233	3073969	3073847	3073969	3072625	3072999
1249	"ENSG00000140543.9"	"DET1"	chr15	-	89073853	89074946	89074843	89074946	89070829	89071017
1272	"ENSG00000136378.10"	"ADAMTS7"	chr15	-	79068529	79069930	79069785	79069930	79066965	79067135
1285	"ENSG00000105193.4"	"RPS16"	chr19	-	39924161	39924401	39924304	39924401	39923846	39924058
1345	"ENSG00000243708.4"	"PLA2G4B"	chr15	+	42134390	42135421	42134390	42134474	42135873	42136009
