ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
100	"ENSG00000089820.11"	"ARHGAP4"	chrX	-	153176375	153176453	153176582	153176643	153176153	153176288	153178153	153178256
101	"ENSG00000089820.11"	"ARHGAP4"	chrX	-	153176582	153176643	153178153	153178256	153176375	153176453	153178477	153178505
104	"ENSG00000102081.9"	"FMR1"	chrX	+	147007057	147007151	147009839	147009911	147003450	147003503	147010176	147010325
108	"ENSG00000131725.9"	"WDR44"	chrX	+	117570664	117570787	117575330	117575522	117566743	117566857	117576206	117576308
112	"ENSG00000101844.13"	"ATG4A"	chrX	+	107377286	107377388	107380320	107380400	107374489	107374588	107381033	107381221
121	"ENSG00000126756.7"	"UXT"	chrX	-	47516581	47516689	47516970	47517038	47511479	47511543	47517180	47517262
125	"ENSG00000215301.5"	"DDX3X"	chrX	+	41202468	41202604	41202989	41203075	41201989	41202089	41203282	41203381
129	"ENSG00000157625.11"	"TAB3"	chrX	-	30861082	30861166	30864667	30864761	30852167	30852269	30870894	30871055
130	"ENSG00000131828.9"	"PDHA1"	chrX	+	19371199	19371291	19372608	19372701	19369398	19369525	19373466	19373622
136	"ENSG00000079974.13"	"RABL2B"	chr22	-	51207882	51207980	51214199	51214279	51207468	51207552	51215097	51215177
137	"ENSG00000100258.13"	"LMF2"	chr22	-	50943485	50943582	50943657	50943763	50943230	50943413	50943831	50943966
144	"ENSG00000100401.15"	"RANGAP1"	chr22	-	41657449	41657584	41660667	41660847	41653951	41654110	41664100	41664160
151	"ENSG00000100003.13"	"SEC14L2"	chr22	+	30811747	30811854	30811936	30812076	30806584	30806668	30812222	30812392
153	"ENSG00000183765.16"	"CHEK2"	chr22	-	29085252	29085254	29121230	29121355	29085122	29085203	29130390	29130715
158	"ENSG00000133460.15"	"SLC2A11"	chr22	+	24225958	24226060	24226135	24226211	24224945	24225056	24226488	24226616
159	"ENSG00000099917.13"	"MED15"	chr22	+	20907431	20907461	20909222	20909435	20905722	20905774	20918736	20918975
161	"ENSG00000100084.10"	"HIRA"	chr22	-	19341518	19341641	19343282	19343388	19340878	19341042	19343752	19343811
162	"ENSG00000160209.14"	"PDXK"	chr21	+	45163549	45163688	45165959	45166006	45161547	45161652	45168875	45168961
163	"ENSG00000160209.14"	"PDXK"	chr21	+	45163604	45163688	45165959	45166006	45161547	45161652	45168875	45168961
179	"ENSG00000157538.9"	"DSCR3"	chr21	-	38604677	38604752	38610760	38610910	38600523	38600674	38612796	38612940
182	"ENSG00000185808.9"	"PIGP"	chr21	-	38439561	38439680	38441851	38441924	38437673	38438012	38444733	38444837
183	"ENSG00000185808.9"	"PIGP"	chr21	-	38439561	38439680	38444444	38444610	38437673	38438012	38444733	38444837
184	"ENSG00000185808.9"	"PIGP"	chr21	-	38441851	38441924	38444444	38444610	38437673	38438012	38444733	38444837
188	"ENSG00000265590.5"	"AP000275.65"	chr21	-	33979958	33980026	33982147	33982315	33976434	33976593	33984414	33984456
189	"ENSG00000142168.10"	"SOD1"	chr21	+	33036102	33036199	33038761	33038831	33031934	33032154	33039570	33039688
196	"ENSG00000240849.6"	"TMEM189"	chr20	-	48760038	48760158	48767748	48767852	48747392	48747484	48770053	48770271
197	"ENSG00000124198.8"	"ARFGEF2"	chr20	+	47645066	47645205	47648585	47648703	47641849	47642018	47649559	47653230
200	"ENSG00000196839.8"	"ADA"	chr20	-	43252842	43252970	43254209	43254325	43251469	43251571	43255096	43255240
201	"ENSG00000132823.6"	"OSER1"	chr20	-	42831600	42831714	42835520	42835638	42825135	42826379	42839335	42839431
209	"ENSG00000272897.1"	"RP1-309K20.6"	chr20	-	34220716	34220845	34243123	34243266	34220438	34220618	34246851	34246936
210	"ENSG00000061656.5"	"SPAG4"	chr20	+	34205441	34205508	34206008	34206052	34204801	34205162	34206371	34206818
211	"ENSG00000061656.5"	"SPAG4"	chr20	+	34205441	34205508	34206371	34206397	34204945	34205162	34206533	34206642
212	"ENSG00000088298.8"	"EDEM2"	chr20	-	33719444	33719586	33725682	33725808	33714053	33714178	33730175	33730281
215	"ENSG00000125970.7"	"RALY"	chr20	+	32661368	32661441	32661624	32661672	32659871	32660136	32663679	32663846
216	"ENSG00000125970.7"	"RALY"	chr20	+	32661624	32661672	32663679	32663846	32661368	32661441	32664507	32664621
217	"ENSG00000101391.16"	"CDK5RAP1"	chr20	-	31958304	31958435	31960447	31960503	31954664	31954814	31961920	31962018
220	"ENSG00000101294.12"	"HM13"	chr20	+	30125981	30126064	30132749	30132838	30115286	30115385	30137866	30137924
221	"ENSG00000101294.12"	"HM13"	chr20	+	30125981	30126064	30136831	30136917	30115286	30115385	30137866	30137924
222	"ENSG00000101294.12"	"HM13"	chr20	+	30132749	30132838	30136831	30136917	30115286	30115385	30137866	30137924
226	"ENSG00000154930.10"	"ACSS1"	chr20	-	24995773	24995866	25000645	25000783	24994596	24994709	25002024	25002172
235	"ENSG00000105538.4"	"RASIP1"	chr19	-	49230263	49230415	49230649	49230687	49230041	49230145	49232193	49232847
242	"ENSG00000197140.10"	"ADAM32"	chr8	+	39027434	39027516	39068662	39068843	39022548	39022715	39079128	39079221
254	"ENSG00000105220.10"	"GPI"	chr19	+	34872370	34872424	34884152	34884213	34870422	34870467	34884632	34884676
257	"ENSG00000257379.1"	"RP11-793H13.8"	chr12	+	53858543	53858636	53859715	53859757	53856276	53856351	53861004	53861312
259	"ENSG00000140688.12"	"C16orf58"	chr16	-	31504298	31504369	31504787	31504845	31503517	31503661	31504923	31505102
260	"ENSG00000085491.11"	"SLC25A24"	chr1	-	108703803	108703915	108724562	108724650	108700083	108700242	108728449	108728576
267	"ENSG00000168066.16"	"SF1"	chr11	-	64536897	64537081	64537435	64537525	64536694	64536810	64537727	64537880
272	"ENSG00000123159.11"	"GIPC1"	chr19	-	14593500	14593818	14603668	14603724	14591404	14591590	14606848	14606944
273	"ENSG00000123159.11"	"GIPC1"	chr19	-	14602467	14602555	14603668	14603724	14591404	14591590	14606848	14606944
278	"ENSG00000174652.13"	"ZNF266"	chr19	-	9544750	9544911	9545473	9545535	9530740	9530894	9545783	9545869
286	"ENSG00000167671.7"	"UBXN6"	chr19	-	4452360	4452489	4453454	4453519	4448314	4448412	4453926	4454090
330	"ENSG00000141385.5"	"AFG3L2"	chr18	-	12337339	12337534	12340199	12340400	12328942	12329782	12344130	12344246
331	"ENSG00000141385.5"	"AFG3L2"	chr18	-	12340199	12340400	12344130	12344246	12337339	12337534	12348271	12348382
335	"ENSG00000145715.10"	"RASA1"	chr5	+	86669979	86670137	86670656	86670733	86667934	86668012	86672209	86672382
337	"ENSG00000138297.9"	"TIMM23"	chr10	-	51610392	51610451	51612903	51612988	51606987	51607098	51613217	51613311
339	"ENSG00000104936.13"	"DMPK"	chr19	-	46274228	46274314	46274607	46274654	46272977	46273898	46274825	46274923
