ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
322	"ENSG00000131089.9"	"ARHGEF9"	chrX	-	62974183	62974556	62974194	62974556	62944411	62944591
338	"ENSG00000012211.8"	"PRICKLE3"	chrX	-	49040111	49040370	49040186	49040370	49036041	49036155
453	"ENSG00000130703.11"	"OSBPL2"	chr20	+	60854212	60854405	60854212	60854395	60856113	60856221
476	"ENSG00000101052.8"	"IFT52"	chr20	+	42233641	42233856	42233641	42233713	42242489	42242616
490	"ENSG00000088340.11"	"FER1L4"	chr20	-	34147889	34148405	34148306	34148405	34147110	34147394
596	"ENSG00000267107.2"	"AC011526.1"	chr19	-	42000447	42001335	42001209	42001335	41984988	41985192
628	"ENSG00000089356.12"	"FXYD3"	chr19	+	35613668	35613858	35613668	35613743	35614174	35614212
639	"ENSG00000006042.7"	"TMEM98"	chr17	+	31258344	31258677	31258344	31258420	31260191	31260323
665	"ENSG00000115464.10"	"USP34"	chr2	-	61433894	61436112	61436033	61436112	61433151	61433259
671	"ENSG00000182944.13"	"EWSR1"	chr22	+	29684594	29687588	29684594	29684775	29688125	29688158
681	"ENSG00000130734.5"	"ATG4D"	chr19	+	10657514	10657751	10657514	10657747	10657864	10657929
684	"ENSG00000130734.5"	"ATG4D"	chr19	+	10657514	10657758	10657514	10657751	10657864	10657929
685	"ENSG00000130734.5"	"ATG4D"	chr19	+	10657514	10657791	10657514	10657751	10657864	10657929
694	"ENSG00000174652.13"	"ZNF266"	chr19	-	9544740	9544911	9544750	9544911	9530740	9530894
727	"ENSG00000071564.10"	"TCF3"	chr19	-	1615283	1615820	1615684	1615820	1612205	1612429
754	"ENSG00000109065.7"	"NAT9"	chr17	-	72771737	72771846	72771760	72771846	72769714	72769827
769	"ENSG00000198826.6"	"ARHGAP11A"	chr15	+	32921795	32921963	32921795	32921876	32925263	32925309
798	"ENSG00000248049.2"	"UBA6-AS1"	chr4	+	68586139	68586769	68586139	68586350	68587194	68588223
828	"ENSG00000108654.7"	"DDX5"	chr17	-	62496666	62498187	62498127	62498187	62495733	62496444
829	"ENSG00000068745.10"	"IP6K2"	chr3	-	48732126	48732854	48732522	48732854	48731891	48731958
850	"ENSG00000160469.12"	"BRSK1"	chr19	+	55798581	55798671	55798581	55798667	55800847	55800988
980	"ENSG00000170004.12"	"CHD3"	chr17	+	7812460	7812702	7812460	7812656	7814164	7814291
1023	"ENSG00000169592.10"	"INO80E"	chr16	+	30014970	30015035	30014970	30014991	30015888	30015978
1109	"ENSG00000156873.11"	"PHKG2"	chr16	+	30762426	30762924	30762426	30762538	30764552	30764618
1169	"ENSG00000214078.7"	"CPNE1"	chr20	-	34252681	34252848	34252723	34252848	34243123	34243266
1236	"ENSG00000140543.9"	"DET1"	chr15	-	89073853	89074946	89074843	89074946	89070829	89071017
1356	"ENSG00000105677.7"	"TMEM147"	chr19	+	36037573	36037931	36037573	36037710	36038020	36038142
1369	"ENSG00000115307.12"	"AUP1"	chr2	-	74755877	74756409	74756258	74756409	74755543	74755616
1378	"ENSG00000226777.3"	"KIAA0125"	chr14	+	106386921	106387117	106386921	106387107	106388057	106388203
1414	"ENSG00000197249.8"	"SERPINA1"	chr14	-	94855137	94855347	94855155	94855347	94854896	94854997
1416	"ENSG00000160058.14"	"BSDC1"	chr1	-	32844324	32844440	32844363	32844440	32843827	32843884
1421	"ENSG00000147403.12"	"RPL10"	chrX	+	153627678	153627935	153627678	153627737	153628143	153628282
1427	"ENSG00000188493.10"	"C19orf54"	chr19	-	41248419	41248675	41248481	41248675	41248070	41248094
1453	"ENSG00000213918.6"	"DNASE1"	chr16	+	3707720	3707868	3707720	3707817	3712646	3712805
1510	"ENSG00000157353.12"	"FUK"	chr16	+	70500784	70501374	70500784	70500857	70501788	70501869
1511	"ENSG00000157353.12"	"FUK"	chr16	+	70500784	70501374	70500784	70500857	70502751	70502871
1517	"ENSG00000166348.13"	"USP54"	chr10	-	75265065	75265184	75265080	75265184	75260412	75260596
1611	"ENSG00000081760.12"	"AACS"	chr12	+	125609250	125609570	125609250	125609315	125612706	125612820
1638	"ENSG00000186298.7"	"PPP1CC"	chr12	-	111160276	111160500	111160428	111160500	111159939	111160074
1655	"ENSG00000238105.3"	"GOLGA2B"	chr12	-	100561113	100561221	100561114	100561221	100560831	100560919
1765	"ENSG00000167528.8"	"ZNF641"	chr12	-	48740931	48741126	48741034	48741126	48738381	48738495
1768	"ENSG00000134291.7"	"TMEM106C"	chr12	+	48357991	48358245	48357991	48358206	48359064	48360012
1838	"ENSG00000129467.9"	"ADCY4"	chr14	-	24804090	24804277	24804189	24804277	24803699	24803888
1839	"ENSG00000186594.8"	"MIR22HG"	chr17	-	1616996	1617308	1617149	1617308	1615544	1615940
1841	"ENSG00000215021.4"	"PHB2"	chr12	-	7078660	7078740	7078669	7078740	7077573	7077750
1870	"ENSG00000150433.5"	"TMEM218"	chr11	-	124972532	124972705	124972629	124972705	124971096	124971199
1899	"ENSG00000172367.11"	"PDZD3"	chr11	+	119058648	119059260	119058648	119058853	119059348	119059576
2010	"ENSG00000175634.10"	"RPS6KB2"	chr11	+	67200422	67200665	67200422	67200513	67200810	67200918
2015	"ENSG00000174197.12"	"MGA"	chr15	+	42028378	42028896	42028378	42028566	42032103	42032401
2019	"ENSG00000135451.8"	"TROAP"	chr12	+	49723927	49724726	49723927	49724356	49724996	49725190
2050	"ENSG00000256591.1"	"RP11-286N22.8"	chr11	+	61205475	61205592	61205475	61205585	61213412	61213703
2062	"ENSG00000112146.12"	"FBXO9"	chr6	+	52938278	52938437	52938278	52938436	52941283	52941341
