ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
299	"ENSG00000101892.7"	"ATP1B4"	chrX	+	119500379	119500644	119500379	119500632	119504960	119505065
300	"ENSG00000101892.7"	"ATP1B4"	chrX	+	119500379	119500644	119500379	119500632	119509226	119509423
321	"ENSG00000147162.9"	"OGT"	chrX	+	70764416	70767873	70764416	70764485	70774362	70774442
325	"ENSG00000131089.9"	"ARHGEF9"	chrX	-	62974183	62974556	62974194	62974556	62944411	62944591
377	"ENSG00000100284.16"	"TOM1"	chr22	+	35717951	35718030	35717951	35718012	35718991	35719170
395	"ENSG00000100099.16"	"HPS4"	chr22	-	26862191	26864589	26864516	26864589	26854410	26854543
457	"ENSG00000130703.11"	"OSBPL2"	chr20	+	60854212	60854405	60854212	60854395	60855064	60855277
489	"ENSG00000131051.16"	"RBM39"	chr20	-	34292589	34293252	34293146	34293252	34292298	34292503
496	"ENSG00000100983.5"	"GSS"	chr20	-	33530290	33530809	33530733	33530809	33529515	33529632
531	"ENSG00000105048.12"	"TNNT1"	chr19	-	55657801	55657834	55657812	55657834	55653224	55653288
533	"ENSG00000105048.12"	"TNNT1"	chr19	-	55658027	55658075	55658048	55658075	55657812	55657834
602	"ENSG00000267107.2"	"AC011526.1"	chr19	-	42000447	42001335	42001209	42001335	41984988	41985192
628	"ENSG00000239382.6"	"ALKBH6"	chr19	-	36503902	36503991	36503922	36503991	36501795	36501947
633	"ENSG00000011600.7"	"TYROBP"	chr19	-	36399069	36399197	36399076	36399197	36398347	36398482
676	"ENSG00000182944.13"	"EWSR1"	chr22	+	29684594	29687588	29684594	29684775	29688125	29688158
686	"ENSG00000130734.5"	"ATG4D"	chr19	+	10657514	10657751	10657514	10657747	10657864	10657929
689	"ENSG00000130734.5"	"ATG4D"	chr19	+	10657514	10657758	10657514	10657751	10657864	10657929
690	"ENSG00000130734.5"	"ATG4D"	chr19	+	10657514	10657791	10657514	10657751	10657864	10657929
694	"ENSG00000105401.2"	"CDC37"	chr19	-	10505903	10506219	10506110	10506219	10505696	10505819
700	"ENSG00000174652.13"	"ZNF266"	chr19	-	9544740	9544911	9544750	9544911	9530740	9530894
733	"ENSG00000071564.10"	"TCF3"	chr19	-	1615283	1615820	1615684	1615820	1612205	1612429
738	"ENSG00000117481.6"	"NSUN4"	chr1	+	46810472	46810816	46810472	46810634	46818539	46818700
771	"ENSG00000007384.11"	"RHBDF1"	chr16	-	109246	109347	109296	109347	108971	109091
794	"ENSG00000082397.11"	"EPB41L3"	chr18	-	5406763	5406967	5406775	5406967	5398019	5398142
805	"ENSG00000248049.2"	"UBA6-AS1"	chr4	+	68586139	68586769	68586139	68586350	68587194	68588223
809	"ENSG00000213339.4"	"QTRT1"	chr19	+	10822836	10823304	10822836	10822975	10823433	10823543
836	"ENSG00000108654.7"	"DDX5"	chr17	-	62496666	62498187	62498127	62498187	62495733	62496444
845	"ENSG00000068097.10"	"HEATR6"	chr17	-	58144791	58145093	58144794	58145093	58143569	58143747
859	"ENSG00000147121.11"	"KRBOX4"	chrX	+	46322632	46322743	46322632	46322728	46330576	46330620
869	"ENSG00000082641.11"	"NFE2L1"	chr17	+	46127968	46128990	46127968	46128143	46133780	46133960
873	"ENSG00000178852.11"	"EFCAB13"	chr17	+	45401390	45401465	45401390	45401440	45403591	45403753
875	"ENSG00000181513.10"	"ACBD4"	chr17	+	43212707	43212963	43212707	43212959	43213208	43213320
920	"ENSG00000130414.7"	"NDUFA10"	chr2	-	240957940	240958056	240957969	240958056	240957231	240957322
993	"ENSG00000141504.7"	"SAT2"	chr17	-	7530680	7531120	7530870	7531120	7530460	7530544
1098	"ENSG00000140939.10"	"NOL3"	chr16	+	67205054	67205360	67205054	67205155	67207910	67207949
1128	"ENSG00000149925.12"	"ALDOA"	chr16	+	30078770	30080299	30078770	30078982	30080626	30080710
1188	"ENSG00000103145.6"	"HCFC1R1"	chr16	-	3073233	3073969	3073847	3073969	3072625	3072999
1192	"ENSG00000150990.3"	"DHX37"	chr12	-	125434958	125435350	125435235	125435350	125434694	125434789
1202	"ENSG00000140988.11"	"RPS2"	chr16	-	2012497	2013257	2013149	2013257	2012061	2012271
1250	"ENSG00000140543.9"	"DET1"	chr15	-	89073853	89074946	89074843	89074946	89070829	89071017
1312	"ENSG00000140416.15"	"TPM1"	chr15	+	63353396	63354476	63353396	63353472	63354774	63354844
1345	"ENSG00000168970.16"	"JMJD7-PLA2G4B"	chr15	+	42128672	42129138	42128672	42128749	42129265	42132428
1372	"ENSG00000105677.7"	"TMEM147"	chr19	+	36037573	36037931	36037573	36037710	36038020	36038142
1385	"ENSG00000115307.12"	"AUP1"	chr2	-	74755877	74756409	74756258	74756409	74755543	74755616
1405	"ENSG00000126214.16"	"KLC1"	chr14	+	104145720	104145882	104145720	104145855	104159889	104160080
1435	"ENSG00000147403.12"	"RPL10"	chrX	+	153627678	153627935	153627678	153627737	153628143	153628282
