ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
703	"ENSG00000100258.13"	"LMF2"	chr22	-	50943485	50943966	50943485	50943582	50943831	50943966
709	"ENSG00000205593.7"	"DENND6B"	chr22	-	50754453	50754904	50754453	50754516	50754798	50754904
737	"ENSG00000100225.13"	"FBXO7"	chr22	+	32883731	32889268	32883731	32883815	32889091	32889268
945	"ENSG00000125691.8"	"RPL23"	chr17	-	37006333	37008985	37006333	37006467	37008856	37008985
961	"ENSG00000213024.6"	"NUP62"	chr19	-	50430950	50432761	50430950	50431072	50432673	50432761
962	"ENSG00000213024.6"	"NUP62"	chr19	-	50430950	50432761	50430950	50431105	50432673	50432761
1167	"ENSG00000198258.6"	"UBL5"	chr19	+	9939002	9939351	9939002	9939065	9939267	9939351
1260	"ENSG00000169738.3"	"DCXR"	chr17	-	79994066	79994639	79994066	79994324	79994596	79994639
1337	"ENSG00000182473.16"	"EXOC7"	chr17	-	74083734	74084643	74083734	74083801	74084544	74084643
1375	"ENSG00000136450.8"	"SRSF1"	chr17	-	56082283	56083334	56082283	56082402	56083161	56083334
1383	"ENSG00000005884.13"	"ITGA3"	chr17	+	48153947	48154811	48153947	48154045	48154742	48154811
1409	"ENSG00000168763.11"	"CNNM3"	chr2	+	97493467	97494871	97493467	97493637	97494732	97494871
1428	"ENSG00000141736.9"	"ERBB2"	chr17	+	37871992	37872858	37871992	37872192	37872767	37872858
1445	"ENSG00000171346.9"	"KRT15"	chr17	-	39669997	39671944	39669997	39670372	39671723	39671944
1477	"ENSG00000108591.5"	"DRG2"	chr17	+	18002330	18003749	18002330	18002391	18003676	18003749
1575	"ENSG00000100316.11"	"RPL3"	chr22	-	39709195	39710213	39709195	39709315	39710111	39710213
1745	"ENSG00000214078.7"	"CPNE1"	chr20	-	34218360	34218956	34218360	34218412	34218822	34218956
1758	"ENSG00000196954.8"	"CASP4"	chr11	-	104817809	104820504	104817809	104817919	104820269	104820504
1872	"ENSG00000140398.9"	"NEIL1"	chr15	+	75644942	75646833	75644942	75645042	75646771	75646833
1937	"ENSG00000243708.4"	"PLA2G4B"	chr15	+	42133428	42134147	42133428	42133471	42134016	42134147
1964	"ENSG00000105677.7"	"TMEM147"	chr19	+	36037573	36038142	36037573	36037710	36038020	36038142
1983	"ENSG00000160948.9"	"VPS28"	chr8	-	145650328	145651591	145650328	145651155	145651562	145651591
1985	"ENSG00000160948.9"	"VPS28"	chr8	-	145651408	145652366	145651408	145651446	145652291	145652366
2080	"ENSG00000173575.14"	"CHD2"	chr15	+	93486072	93489095	93486072	93486298	93489050	93489095
2117	"ENSG00000092010.10"	"PSME1"	chr14	+	24606193	24606640	24606193	24606226	24606529	24606640
2133	"ENSG00000157353.12"	"FUK"	chr16	+	70500784	70501869	70500784	70500857	70501788	70501869
2149	"ENSG00000184056.10"	"VPS33B"	chr15	-	91549601	91550276	91549601	91549675	91550179	91550276
2157	"ENSG00000092094.6"	"OSGEP"	chr14	-	20915773	20916330	20915773	20915849	20916264	20916330
2201	"ENSG00000136155.12"	"SCEL"	chr13	+	78176199	78177270	78176199	78176259	78177210	78177270
2383	"ENSG00000065357.15"	"DGKA"	chr12	+	56345406	56346215	56345406	56345567	56346124	56346215
2618	"ENSG00000128951.9"	"DUT"	chr15	+	48633485	48634592	48633485	48633560	48634218	48634592
2749	"ENSG00000149532.11"	"CPSF7"	chr11	-	61183137	61183991	61183137	61183256	61183835	61183991
2867	"ENSG00000166394.10"	"CYB5R2"	chr11	-	7689708	7693754	7689708	7689792	7693681	7693754
3116	"ENSG00000168010.6"	"ATG16L2"	chr11	+	72537562	72538338	72537562	72537634	72538232	72538338
3142	"ENSG00000110330.4"	"BIRC2"	chr11	+	102219328	102221480	102219328	102219450	102220608	102221480
3182	"ENSG00000102225.11"	"CDK16"	chrX	+	47085363	47086102	47085363	47085426	47085981	47086102
3274	"ENSG00000142910.11"	"TINAGL1"	chr1	+	32051040	32052356	32051040	32051086	32052310	32052356
3301	"ENSG00000089195.10"	"TRMT6"	chr20	-	5921698	5922682	5921698	5921785	5922596	5922682
3346	"ENSG00000213930.7"	"GALT"	chr9	+	34647488	34647958	34647488	34647564	34647828	34647958
3502	"ENSG00000178038.12"	"ALS2CL"	chr3	-	46716055	46717892	46716055	46716229	46717734	46717892
3618	"ENSG00000115282.15"	"TTC31"	chr2	+	74717370	74718311	74717370	74717600	74718254	74718311
3784	"ENSG00000186088.11"	"GSAP"	chr7	-	76958649	76959684	76958649	76958708	76959498	76959684
3820	"ENSG00000155066.11"	"PROM2"	chr2	+	95943677	95944892	95943677	95943752	95944732	95944892
4072	"ENSG00000186281.8"	"GPAT2"	chr2	-	96688705	96689188	96688705	96688771	96689056	96689188
4151	"ENSG00000231500.2"	"RPS18"	chr6	+	33243741	33244287	33243741	33243843	33244167	33244287
4239	"ENSG00000234585.2"	"CCT6P3"	chr7	+	64529086	64530862	64529086	64529168	64530723	64530862
4459	"ENSG00000188906.9"	"LRRK2"	chr12	+	40758643	40763087	40758643	40758852	40761445	40763087
4603	"ENSG00000114626.13"	"ABTB1"	chr3	+	127395378	127396129	127395378	127395424	127396010	127396129
4614	"ENSG00000140365.11"	"COMMD4"	chr15	+	75630986	75632219	75630986	75631026	75632042	75632219
4615	"ENSG00000140365.11"	"COMMD4"	chr15	+	75631325	75632219	75631325	75631445	75632042	75632219
4794	"ENSG00000143369.10"	"ECM1"	chr1	+	150482136	150482478	150482136	150482238	150482310	150482478
4941	"ENSG00000171680.16"	"PLEKHG5"	chr1	-	6527884	6528646	6527884	6527953	6528158	6528646
5038	"ENSG00000197816.9"	"CCDC180"	chr9	+	100132922	100136930	100132922	100133060	100136824	100136930
5107	"ENSG00000140043.7"	"PTGR2"	chr14	+	74343700	74346879	74343700	74343871	74346757	74346879
