ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
1585	"ENSG00000185973.6"	"TMLHE"	chrX	-	154774756	154774938	154753931	154754293	154842452	154842538
1614	"ENSG00000180879.9"	"SSR4"	chrX	+	153063179	153063269	153061888	153062007	153063525	153063591
1619	"ENSG00000130821.11"	"SLC6A8"	chrX	+	152958495	152958630	152957429	152957562	152958717	152958821
1634	"ENSG00000147383.6"	"NSDHL"	chrX	+	152036114	152036217	152034362	152034505	152037327	152037907
1643	"ENSG00000102287.12"	"GABRE"	chrX	-	151125754	151125958	151124179	151124332	151128310	151128448
1644	"ENSG00000102287.12"	"GABRE"	chrX	-	151127435	151127621	151125754	151125958	151128310	151128448
1657	"ENSG00000155984.10"	"TMEM185A"	chrX	-	148685652	148685736	148681966	148682143	148713225	148713487
1659	"ENSG00000155984.10"	"TMEM185A"	chrX	-	148690313	148690521	148685374	148685736	148713225	148713487
1660	"ENSG00000155984.10"	"TMEM185A"	chrX	-	148692969	148693146	148685652	148685736	148713225	148713381
1661	"ENSG00000155984.10"	"TMEM185A"	chrX	-	148692969	148693146	148690313	148690516	148713225	148713381
1667	"ENSG00000241769.3"	"LINC00893"	chrX	-	148620256	148620439	148619646	148619704	148620609	148620837
1668	"ENSG00000241769.3"	"LINC00893"	chrX	-	148620256	148620439	148619646	148619704	148621917	148621999
1675	"ENSG00000010404.13"	"IDS"	chrX	-	148584841	148585019	148582479	148582568	148585686	148585749
1676	"ENSG00000010404.13"	"IDS"	chrX	-	148586564	148586707	148585686	148585823	148593063	148593150
1677	"ENSG00000102081.9"	"FMR1"	chrX	+	147007057	147007151	147003450	147003503	147009839	147009911
1709	"ENSG00000156500.10"	"FAM122C"	chrX	+	133981412	133981505	133979376	133979431	133986829	133986926
1711	"ENSG00000156500.10"	"FAM122C"	chrX	+	133983196	133983258	133981412	133981505	133986829	133986926
1712	"ENSG00000156500.10"	"FAM122C"	chrX	+	133986829	133986926	133981412	133981505	133988120	133988213
1723	"ENSG00000134597.9"	"RBMX2"	chrX	+	129543230	129543360	129537775	129537827	129545321	129545498
1724	"ENSG00000156709.9"	"AIFM1"	chrX	-	129265649	129265774	129263944	129264141	129267287	129267430
1726	"ENSG00000156709.9"	"AIFM1"	chrX	-	129274507	129274592	129273769	129273846	129279453	129279544
1753	"ENSG00000018610.9"	"CXorf56"	chrX	-	118678315	118678454	118676467	118676557	118679425	118679467
1758	"ENSG00000175556.12"	"LONRF3"	chrX	+	118146842	118147164	118145777	118145936	118148169	118148319
1759	"ENSG00000175556.12"	"LONRF3"	chrX	+	118147001	118147164	118145777	118145936	118148169	118148319
1765	"ENSG00000087916.7"	"SLC6A14"	chrX	+	115572133	115572265	115568957	115569123	115573854	115574016
1774	"ENSG00000101901.6"	"ALG13"	chrX	+	110954902	110954953	110932314	110932425	110955711	110955758
1775	"ENSG00000101901.6"	"ALG13"	chrX	+	110961073	110961155	110956447	110956525	110961339	110961502
1780	"ENSG00000101901.6"	"ALG13"	chrX	+	110987895	110988132	110980254	110980309	110996017	110996058
1784	"ENSG00000068366.15"	"ACSL4"	chrX	-	108939372	108939425	108926364	108926604	108976367	108976442
1787	"ENSG00000188153.8"	"COL4A5"	chrX	+	107819139	107819202	107816803	107816884	107821181	107821217
1788	"ENSG00000188153.8"	"COL4A5"	chrX	+	107849971	107850122	107846193	107846291	107858140	107858254
1789	"ENSG00000188153.8"	"COL4A5"	chrX	+	107935977	107936155	107930711	107930924	107938036	107938151
1790	"ENSG00000188153.8"	"COL4A5"	chrX	+	107938036	107938151	107930711	107930924	107939526	107940166
1810	"ENSG00000123562.12"	"MORF4L2"	chrX	-	102933426	102933528	102930423	102931979	102939608	102939657
1812	"ENSG00000123562.12"	"MORF4L2"	chrX	-	102933426	102933548	102931753	102931979	102939608	102939657
1813	"ENSG00000123562.12"	"MORF4L2"	chrX	-	102933426	102933548	102931753	102931979	102940098	102940188
1815	"ENSG00000123562.12"	"MORF4L2"	chrX	-	102933426	102933579	102930427	102931979	102939608	102939657
1817	"ENSG00000123562.12"	"MORF4L2"	chrX	-	102939608	102939657	102930427	102931979	102940098	102940188
1819	"ENSG00000123562.12"	"MORF4L2"	chrX	-	102939608	102939657	102933426	102933548	102940098	102940188
1822	"ENSG00000133142.13"	"TCEAL4"	chrX	+	102840786	102841219	102840460	102840552	102841576	102842622
1823	"ENSG00000133142.13"	"TCEAL4"	chrX	+	102840897	102841219	102840490	102840552	102841576	102841877
1824	"ENSG00000133142.13"	"TCEAL4"	chrX	+	102841146	102841219	102840440	102840552	102841576	102841833
1878	"ENSG00000124429.13"	"POF1B"	chrX	-	84562168	84562282	84561186	84561339	84563129	84563222
1879	"ENSG00000124429.13"	"POF1B"	chrX	-	84585954	84586085	84570712	84570740	84600865	84601048
1880	"ENSG00000124429.13"	"POF1B"	chrX	-	84622696	84622771	84614554	84614635	84634177	84634500
1910	"ENSG00000067177.10"	"PHKA1"	chrX	-	71822968	71823070	71822007	71822123	71825120	71825250
1921	"ENSG00000147162.9"	"OGT"	chrX	+	70774362	70774442	70764416	70767873	70775803	70775944
1923	"ENSG00000147162.9"	"OGT"	chrX	+	70781624	70781750	70779437	70779527	70782696	70782867
1931	"ENSG00000082458.7"	"DLG3"	chrX	+	69713225	69713325	69712370	69712446	69718369	69718408
1932	"ENSG00000082458.7"	"DLG3"	chrX	+	69715257	69715303	69712370	69712446	69718369	69718420
1934	"ENSG00000082458.7"	"DLG3"	chrX	+	69715257	69715303	69713225	69713325	69718369	69718420
1935	"ENSG00000082458.7"	"DLG3"	chrX	+	69717029	69717071	69713225	69713325	69718369	69718408
1946	"ENSG00000130052.9"	"STARD8"	chrX	+	67937053	67938471	67936209	67936273	67939066	67939240
1954	"ENSG00000102043.11"	"MTMR8"	chrX	-	63579284	63579407	63576055	63576218	63615219	63615311
1959	"ENSG00000131089.9"	"ARHGEF9"	chrX	-	62944411	62944591	62926137	62926329	62974194	62974556
1961	"ENSG00000131089.9"	"ARHGEF9"	chrX	-	62951885	62952190	62944411	62944591	62974194	62974556
1963	"ENSG00000165591.6"	"FAAH2"	chrX	+	57358030	57358240	57337025	57337162	57367703	57367823
1964	"ENSG00000165591.6"	"FAAH2"	chrX	+	57474956	57475151	57473360	57473472	57515189	57515629
1984	"ENSG00000086758.11"	"HUWE1"	chrX	-	53571989	53572122	53570846	53570929	53573396	53573553
1991	"ENSG00000124313.8"	"IQSEC2"	chrX	-	53308745	53308841	53284981	53285243	53310677	53310776
1994	"ENSG00000126012.7"	"KDM5C"	chrX	-	53239857	53240039	53239595	53239758	53240678	53240837
2007	"ENSG00000179222.13"	"MAGED1"	chrX	+	51641676	51641739	51641380	51641423	51643277	51643392
2011	"ENSG00000012211.8"	"PRICKLE3"	chrX	-	49034341	49034528	49033251	49033551	49034620	49034824
2012	"ENSG00000012211.8"	"PRICKLE3"	chrX	-	49034505	49034528	49033534	49033551	49034620	49034824
2018	"ENSG00000068400.9"	"GRIPAP1"	chrX	-	48849839	48849990	48847337	48847514	48853661	48853769
2019	"ENSG00000068400.9"	"GRIPAP1"	chrX	-	48849839	48849990	48847337	48847522	48853661	48853769
2020	"ENSG00000068308.9"	"OTUD5"	chrX	-	48791736	48791885	48783122	48783326	48791983	48792140
2031	"ENSG00000102312.16"	"PORCN"	chrX	+	48367811	48368095	48367353	48367491	48368171	48368344
