ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
703	"ENSG00000100258.13"	"LMF2"	chr22	-	50943485	50943966	50943485	50943582	50943831	50943966
877	"ENSG00000088340.11"	"FER1L4"	chr20	-	34147110	34148405	34147110	34147394	34148306	34148405
944	"ENSG00000125691.8"	"RPL23"	chr17	-	37006333	37008985	37006333	37006467	37008856	37008985
960	"ENSG00000213024.6"	"NUP62"	chr19	-	50430950	50432761	50430950	50431072	50432673	50432761
961	"ENSG00000213024.6"	"NUP62"	chr19	-	50430950	50432761	50430950	50431105	50432673	50432761
1102	"ENSG00000105122.8"	"RASAL3"	chr19	-	15562434	15563626	15562434	15562749	15563468	15563626
1156	"ENSG00000130734.5"	"ATG4D"	chr19	+	10657514	10657929	10657514	10657751	10657864	10657929
1206	"ENSG00000179532.8"	"DNHD1"	chr11	+	6519000	6520191	6519000	6519074	6519952	6520191
1310	"ENSG00000132199.14"	"ENOSF1"	chr18	-	690548	691276	690548	690631	691203	691276
1375	"ENSG00000136450.8"	"SRSF1"	chr17	-	56082283	56083334	56082283	56082402	56083161	56083334
1445	"ENSG00000154451.10"	"GBP5"	chr1	-	89727902	89729631	89727902	89728084	89729418	89729631
1474	"ENSG00000108591.5"	"DRG2"	chr17	+	18002330	18003749	18002330	18002391	18003676	18003749
1572	"ENSG00000100316.11"	"RPL3"	chr22	-	39709195	39710213	39709195	39709315	39710111	39710213
1742	"ENSG00000214078.7"	"CPNE1"	chr20	-	34218360	34218956	34218360	34218412	34218822	34218956
1958	"ENSG00000105677.7"	"TMEM147"	chr19	+	36037573	36038142	36037573	36037710	36038020	36038142
2188	"ENSG00000136155.12"	"SCEL"	chr13	+	78176199	78177270	78176199	78176259	78177210	78177270
2192	"ENSG00000100299.13"	"ARSA"	chr22	-	51065018	51065834	51065018	51065188	51065593	51065834
2235	"ENSG00000187848.8"	"P2RX2"	chr12	+	133198060	133198558	133198060	133198126	133198483	133198558
2372	"ENSG00000065357.15"	"DGKA"	chr12	+	56345406	56346215	56345406	56345567	56346124	56346215
2544	"ENSG00000076706.10"	"MCAM"	chr11	-	119181465	119182131	119181465	119181613	119181989	119182131
2642	"ENSG00000105426.10"	"PTPRS"	chr19	-	5218430	5219478	5218430	5218543	5219320	5219478
2840	"ENSG00000174032.12"	"SLC25A30"	chr13	-	45967450	45973213	45967450	45970150	45973074	45973213
2994	"ENSG00000161960.10"	"EIF4A1"	chr17	+	7479841	7480483	7479841	7480008	7480373	7480483
3055	"ENSG00000026025.9"	"VIM"	chr10	+	17277167	17278378	17277167	17277388	17278292	17278378
3084	"ENSG00000260565.2"	"ERVK13-1"	chr16	-	2719411	2722571	2719411	2719562	2721595	2722571
3263	"ENSG00000142910.11"	"TINAGL1"	chr1	+	32051040	32052356	32051040	32051086	32052310	32052356
3271	"ENSG00000160602.9"	"NEK8"	chr17	+	27064323	27064754	27064323	27064597	27064692	27064754
3457	"ENSG00000082068.4"	"WDR70"	chr5	+	37721216	37725152	37721216	37721317	37725035	37725152
3852	"ENSG00000143549.15"	"TPM3"	chr1	-	154143124	154145454	154143124	154143187	154145383	154145454
3859	"ENSG00000159884.7"	"CCDC107"	chr9	+	35660553	35661184	35660553	35660644	35660936	35661184
4059	"ENSG00000186281.8"	"GPAT2"	chr2	-	96688705	96689188	96688705	96688771	96689056	96689188
4138	"ENSG00000231500.2"	"RPS18"	chr6	+	33243741	33244287	33243741	33243843	33244167	33244287
4176	"ENSG00000204472.8"	"AIF1"	chr6	+	31583446	31584283	31583446	31583513	31584120	31584283
4232	"ENSG00000108671.5"	"PSMD11"	chr17	+	30806268	30807215	30806268	30806394	30807163	30807215
4350	"ENSG00000106462.6"	"EZH2"	chr7	-	148513775	148515209	148513775	148513870	148514968	148515209
4418	"ENSG00000204301.5"	"NOTCH4"	chr6	-	32168893	32171659	32168893	32169277	32171546	32171659
4449	"ENSG00000188906.9"	"LRRK2"	chr12	+	40758643	40763087	40758643	40758852	40761445	40763087
4529	"ENSG00000162777.12"	"DENND2D"	chr1	-	111738537	111740611	111738537	111738678	111740541	111740611
5295	"ENSG00000010327.6"	"STAB1"	chr3	+	52551896	52552629	52551896	52552019	52552551	52552629
5364	"ENSG00000144635.4"	"DYNC1LI1"	chr3	-	32571775	32574589	32571775	32571820	32574477	32574589
5368	"ENSG00000111325.12"	"OGFOD2"	chr12	+	123460357	123461314	123460357	123460414	123461130	123461314
5464	"ENSG00000163516.9"	"ANKZF1"	chr2	+	220098854	220100597	220098854	220100034	220100429	220100597
5708	"ENSG00000115446.7"	"UNC50"	chr2	+	99225041	99226502	99225041	99225189	99226105	99226502
5866	"ENSG00000176444.14"	"CLK2"	chr1	-	155233740	155234341	155233740	155233831	155234258	155234341
5933	"ENSG00000188257.6"	"PLA2G2A"	chr1	-	20304507	20305372	20304507	20304614	20305226	20305372
6002	"ENSG00000185189.11"	"NRBP2"	chr8	-	144915916	144918350	144915916	144917900	144918296	144918350
6063	"ENSG00000148362.6"	"C9orf142"	chr9	+	139887091	139887695	139887091	139887152	139887504	139887695
6112	"ENSG00000196924.10"	"FLNA"	chrX	-	153578398	153580064	153578398	153578575	153579948	153580064
6613	"ENSG00000164896.15"	"FASTK"	chr7	-	150773999	150774867	150773999	150774114	150774707	150774867
