ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
600	"ENSG00000131002.7"	"TXLNG2P"	chrY	+	21755284	21759551	21755284	21755479	21759476	21759551
796	"ENSG00000141959.12"	"PFKL"	chr21	+	45739233	45741758	45739233	45739298	45741611	45741758
1044	"ENSG00000104518.6"	"GSDMD"	chr8	+	144641946	144643593	144641946	144642139	144643539	144643593
1139	"ENSG00000182944.13"	"EWSR1"	chr22	+	29694722	29695841	29694722	29694885	29695588	29695841
1256	"ENSG00000169738.3"	"DCXR"	chr17	-	79994066	79994519	79994066	79994184	79994419	79994519
1334	"ENSG00000182473.16"	"EXOC7"	chr17	-	74083734	74084643	74083734	74083801	74084544	74084643
1372	"ENSG00000136450.8"	"SRSF1"	chr17	-	56082283	56083334	56082283	56082402	56083161	56083334
1470	"ENSG00000108591.5"	"DRG2"	chr17	+	18002330	18003749	18002330	18002391	18003676	18003749
1557	"ENSG00000178761.10"	"FAM219B"	chr15	-	75192332	75195127	75192332	75192478	75194944	75195127
1569	"ENSG00000100316.11"	"RPL3"	chr22	-	39709195	39710213	39709195	39709315	39710111	39710213
1763	"ENSG00000167962.8"	"ZNF598"	chr16	-	2052521	2053729	2052521	2052733	2053616	2053729
1929	"ENSG00000243708.4"	"PLA2G4B"	chr15	+	42133428	42134147	42133428	42133471	42134016	42134147
2521	"ENSG00000250799.5"	"PRODH2"	chr19	-	36297331	36298023	36297331	36297498	36297942	36298023
2807	"ENSG00000104957.9"	"CCDC130"	chr19	+	13869681	13870086	13869681	13869824	13869924	13870086
2961	"ENSG00000187531.9"	"SIRT7"	chr17	-	79872169	79873388	79872169	79872406	79873315	79873388
3053	"ENSG00000254154.4"	"RP4-798P15.3"	chr1	-	177929476	177930869	177929476	177929538	177930724	177930869
3236	"ENSG00000100650.11"	"SRSF5"	chr14	+	70235514	70237257	70235514	70235613	70236227	70237257
3238	"ENSG00000100650.11"	"SRSF5"	chr14	+	70235514	70237257	70235514	70235613	70237183	70237257
3448	"ENSG00000082068.4"	"WDR70"	chr5	+	37721216	37725152	37721216	37721317	37725035	37725152
4163	"ENSG00000204472.8"	"AIF1"	chr6	+	31583446	31584283	31583446	31583513	31584120	31584283
4403	"ENSG00000204301.5"	"NOTCH4"	chr6	-	32168893	32171659	32168893	32169277	32171546	32171659
4577	"ENSG00000114626.13"	"ABTB1"	chr3	+	127395378	127396129	127395378	127395424	127396010	127396129
4826	"ENSG00000103245.9"	"NARFL"	chr16	-	780842	782900	780842	781000	782300	782900
5446	"ENSG00000163516.9"	"ANKZF1"	chr2	+	220098854	220100597	220098854	220100034	220100429	220100597
5520	"ENSG00000168488.14"	"ATXN2L"	chr16	+	28847253	28847806	28847253	28847497	28847769	28847806
5691	"ENSG00000115446.7"	"UNC50"	chr2	+	99225041	99226502	99225041	99225189	99226105	99226502
5915	"ENSG00000188257.6"	"PLA2G2A"	chr1	-	20304507	20305372	20304507	20304614	20305226	20305372
5984	"ENSG00000185189.11"	"NRBP2"	chr8	-	144915916	144918350	144915916	144917900	144918296	144918350
6045	"ENSG00000148362.6"	"C9orf142"	chr9	+	139887091	139887695	139887091	139887152	139887504	139887695
6167	"ENSG00000158864.8"	"NDUFS2"	chr1	+	161179900	161180500	161179900	161179978	161180380	161180500
6254	"ENSG00000143416.16"	"SELENBP1"	chr1	-	151337664	151338160	151337664	151337757	151338081	151338160
