ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
1534	"ENSG00000131002.7"	"TXLNG2P"	chrY	+	21757900	21758020	21755284	21755479	21759476	21759551
1549	"ENSG00000183878.11"	"UTY"	chrY	-	15410836	15411024	15409320	15409728	15414756	15414871
1550	"ENSG00000183878.11"	"UTY"	chrY	-	15447442	15448215	15438100	15438230	15466882	15467278
1557	"ENSG00000067048.12"	"DDX3Y"	chrY	+	15023750	15023880	15021270	15021318	15024638	15024794
1667	"ENSG00000102081.9"	"FMR1"	chrX	+	147007057	147007151	147003450	147003503	147010176	147010325
1676	"ENSG00000101981.6"	"F9"	chrX	+	138630521	138630650	138623234	138623348	138633220	138633423
1690	"ENSG00000169446.4"	"MMGT1"	chrX	-	135053216	135053269	135049548	135049652	135055755	135055981
1691	"ENSG00000230162.1"	"RP11-97N5.2"	chrX	-	135026481	135026575	135024636	135025262	135026954	135027193
1722	"ENSG00000122122.9"	"SASH3"	chrX	+	128926303	128926452	128924915	128925057	128926602	128926812
1736	"ENSG00000158290.12"	"CUL4B"	chrX	-	119666276	119666449	119663956	119664109	119668335	119668441
1746	"ENSG00000131724.6"	"IL13RA1"	chrX	+	117880916	117881055	117874979	117875119	117883620	117883741
1789	"ENSG00000123562.12"	"MORF4L2"	chrX	-	102933426	102933548	102931753	102931979	102940098	102940188
1793	"ENSG00000123562.12"	"MORF4L2"	chrX	-	102939608	102939657	102933426	102933548	102940098	102940188
1796	"ENSG00000133142.13"	"TCEAL4"	chrX	+	102840786	102841219	102840460	102840552	102841576	102842622
1797	"ENSG00000133142.13"	"TCEAL4"	chrX	+	102840897	102841219	102840490	102840552	102841576	102841877
1798	"ENSG00000133142.13"	"TCEAL4"	chrX	+	102841146	102841219	102840440	102840552	102841576	102841833
1826	"ENSG00000102401.15"	"ARMCX3"	chrX	+	100878775	100878883	100877786	100878266	100879147	100879208
1827	"ENSG00000102401.15"	"ARMCX3"	chrX	+	100878803	100878883	100878078	100878266	100879147	100879208
1894	"ENSG00000147162.9"	"OGT"	chrX	+	70781624	70781750	70779437	70779527	70782696	70782867
1926	"ENSG00000165591.6"	"FAAH2"	chrX	+	57358030	57358240	57337025	57337162	57367703	57367823
1927	"ENSG00000165591.6"	"FAAH2"	chrX	+	57458350	57458470	57407344	57407462	57473360	57473472
1944	"ENSG00000172943.14"	"PHF8"	chrX	-	54013510	54013596	54012248	54012382	54014198	54014377
1968	"ENSG00000179222.13"	"MAGED1"	chrX	+	51641380	51641423	51640890	51641289	51641676	51641739
1977	"ENSG00000068400.9"	"GRIPAP1"	chrX	-	48849839	48849990	48847337	48847514	48853661	48853769
1978	"ENSG00000068308.9"	"OTUD5"	chrX	-	48780909	48781023	48779487	48780572	48781127	48781329
1988	"ENSG00000147155.6"	"EBP"	chrX	+	48380580	48380640	48380256	48380295	48382141	48382460
2004	"ENSG00000182872.11"	"RBM10"	chrX	+	47034417	47034491	47032526	47032596	47035898	47035985
2011	"ENSG00000069509.5"	"FUNDC1"	chrX	-	44386482	44386611	44382884	44383521	44397712	44397788
2016	"ENSG00000069535.12"	"MAOB"	chrX	-	43698113	43698251	43662546	43662651	43702915	43703010
2055	"ENSG00000157625.11"	"TAB3"	chrX	-	30852167	30852269	30845558	30849692	30861082	30861166
2077	"ENSG00000123131.8"	"PRDX4"	chrX	+	23697281	23697404	23693106	23693223	23700512	23700643
2083	"ENSG00000177189.8"	"RPS6KA3"	chrX	-	20183016	20183079	20181081	20181158	20185706	20185865
2084	"ENSG00000177189.8"	"RPS6KA3"	chrX	-	20183016	20183178	20181081	20181158	20185706	20185865
2085	"ENSG00000177189.8"	"RPS6KA3"	chrX	-	20205945	20206088	20204413	20204484	20206614	20206652
2102	"ENSG00000131831.13"	"RAI2"	chrX	-	17855656	17855850	17818170	17820154	17878628	17878827
2108	"ENSG00000169249.8"	"ZRSR2"	chrX	+	15826355	15826394	15822233	15822320	15827322	15827441
2129	"ENSG00000157399.10"	"ARSE"	chrX	-	2864038	2864175	2861105	2861240	2867344	2867768
2130	"ENSG00000157399.10"	"ARSE"	chrX	-	2867344	2867768	2861105	2861240	2871183	2871306
2154	"ENSG00000177989.9"	"ODF3B"	chr22	-	50969140	50969257	50968138	50968989	50969365	50969487
2155	"ENSG00000177989.9"	"ODF3B"	chr22	-	50969140	50969281	50968837	50968989	50969365	50969487
2160	"ENSG00000100258.13"	"LMF2"	chr22	-	50943485	50943582	50943230	50943413	50943657	50943686
2161	"ENSG00000100258.13"	"LMF2"	chr22	-	50945066	50945095	50944713	50944931	50945210	50945464
2169	"ENSG00000170638.5"	"TRABD"	chr22	+	50631455	50631522	50624343	50624405	50632004	50632083
