ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
703	"ENSG00000100258.13"	"LMF2"	chr22	-	50943485	50943966	50943485	50943582	50943831	50943966
877	"ENSG00000088340.11"	"FER1L4"	chr20	-	34147110	34148405	34147110	34147394	34148306	34148405
959	"ENSG00000213024.6"	"NUP62"	chr19	-	50430950	50432761	50430950	50431072	50432673	50432761
1085	"ENSG00000092929.7"	"UNC13D"	chr17	-	73835919	73836410	73835919	73836023	73836305	73836410
1128	"ENSG00000115464.10"	"USP34"	chr2	-	61463160	61463524	61463160	61463208	61463459	61463524
1258	"ENSG00000169738.3"	"DCXR"	chr17	-	79994066	79994639	79994066	79994324	79994596	79994639
1308	"ENSG00000132199.14"	"ENOSF1"	chr18	-	690548	691276	690548	690631	691203	691276
1373	"ENSG00000136450.8"	"SRSF1"	chr17	-	56082283	56083334	56082283	56082402	56083161	56083334
1557	"ENSG00000178761.10"	"FAM219B"	chr15	-	75192332	75195127	75192332	75192478	75194944	75195127
1569	"ENSG00000100316.11"	"RPL3"	chr22	-	39709195	39710213	39709195	39709315	39710111	39710213
1627	"ENSG00000103042.4"	"SLC38A7"	chr16	-	58709843	58710250	58709843	58710025	58710192	58710250
1740	"ENSG00000214078.7"	"CPNE1"	chr20	-	34218360	34218956	34218360	34218412	34218822	34218956
1804	"ENSG00000185615.11"	"PDIA2"	chr16	+	334877	335703	334877	335015	335505	335703
1957	"ENSG00000105677.7"	"TMEM147"	chr19	+	36037573	36038142	36037573	36037710	36038020	36038142
2071	"ENSG00000173575.14"	"CHD2"	chr15	+	93486072	93489095	93486072	93486298	93489050	93489095
2369	"ENSG00000065357.15"	"DGKA"	chr12	+	56345406	56346215	56345406	56345567	56346124	56346215
2479	"ENSG00000129467.9"	"ADCY4"	chr14	-	24791271	24792660	24791271	24791430	24792549	24792660
2639	"ENSG00000105426.10"	"PTPRS"	chr19	-	5218430	5219478	5218430	5218543	5219320	5219478
2675	"ENSG00000174791.6"	"RIN1"	chr11	-	66101984	66103153	66101984	66102722	66103080	66103153
2813	"ENSG00000104957.9"	"CCDC130"	chr19	+	13869681	13870086	13869681	13869824	13869924	13870086
2891	"ENSG00000064201.11"	"TSPAN32"	chr11	+	2335714	2337897	2335714	2335801	2337805	2337897
3078	"ENSG00000162032.11"	"SPSB3"	chr16	-	1827747	1828613	1827747	1827873	1828134	1828613
3149	"ENSG00000188833.5"	"ENTPD8"	chr9	-	140330972	140331761	140330972	140331203	140331610	140331761
3170	"ENSG00000102225.11"	"CDK16"	chrX	+	47085363	47086102	47085363	47085426	47085981	47086102
3213	"ENSG00000165188.9"	"RNF183"	chr9	-	116063951	116064593	116063951	116064168	116064474	116064593
3263	"ENSG00000142910.11"	"TINAGL1"	chr1	+	32051040	32052356	32051040	32051086	32052310	32052356
3456	"ENSG00000082068.4"	"WDR70"	chr5	+	37721216	37725152	37721216	37721317	37725035	37725152
3770	"ENSG00000186088.11"	"GSAP"	chr7	-	76958649	76959684	76958649	76958708	76959498	76959684
3787	"ENSG00000089094.12"	"KDM2B"	chr12	-	121879959	121881596	121879959	121880639	121881482	121881596
3896	"ENSG00000146205.9"	"ANO7"	chr2	+	242162600	242163370	242162600	242162691	242163319	242163370
3902	"ENSG00000051108.10"	"HERPUD1"	chr16	+	56973806	56974157	56973806	56974000	56974088	56974157
4175	"ENSG00000204472.8"	"AIF1"	chr6	+	31583446	31584283	31583446	31583513	31584120	31584283
4207	"ENSG00000204713.6"	"TRIM27"	chr6	-	28870778	28876617	28870778	28872442	28876584	28876617
4416	"ENSG00000204301.5"	"NOTCH4"	chr6	-	32168893	32171659	32168893	32169277	32171546	32171659
4590	"ENSG00000114626.13"	"ABTB1"	chr3	+	127395378	127396129	127395378	127395424	127396010	127396129
5517	"ENSG00000169045.13"	"HNRNPH1"	chr5	-	179043126	179044111	179043126	179043219	179044060	179044111
5702	"ENSG00000115446.7"	"UNC50"	chr2	+	99225041	99226502	99225041	99225189	99226105	99226502
6054	"ENSG00000148362.6"	"C9orf142"	chr9	+	139887091	139887695	139887091	139887152	139887504	139887695
6057	"ENSG00000178467.13"	"P4HTM"	chr3	+	49042293	49043300	49042293	49042479	49043150	49043300
6177	"ENSG00000158864.8"	"NDUFS2"	chr1	+	161179900	161180500	161179900	161179978	161180380	161180500
6264	"ENSG00000143416.16"	"SELENBP1"	chr1	-	151337664	151338160	151337664	151337757	151338081	151338160
6304	"ENSG00000142327.7"	"RNPEPL1"	chr2	+	241513191	241514045	241513191	241513308	241513931	241514045
6477	"ENSG00000140279.8"	"DUOX2"	chr15	-	45403308	45404153	45403308	45403475	45403965	45404153
