ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
287	"ENSG00000241489.3"	"IDS"	chrX	-	148608068	148608607	148608474	148608607	148582479	148582568
304	"ENSG00000147231.9"	"CXorf57"	chrX	+	105880989	105881154	105880989	105881024	105883781	105883951
316	"ENSG00000188917.10"	"TRMT2B"	chrX	-	100306772	100307105	100306805	100307105	100297030	100297301
325	"ENSG00000131089.9"	"ARHGEF9"	chrX	-	62974183	62974556	62974194	62974556	62944411	62944591
368	"ENSG00000205702.6"	"CYP2D7P1"	chr22	-	42537543	42537685	42537634	42537685	42537161	42537406
393	"ENSG00000100209.5"	"HSCB"	chr22	+	29140602	29140697	29140602	29140692	29147228	29147276
473	"ENSG00000124207.12"	"CSE1L"	chr20	+	47679738	47679881	47679738	47679830	47682728	47682830
493	"ENSG00000088340.11"	"FER1L4"	chr20	-	34147889	34148405	34148306	34148405	34147110	34147394
560	"ENSG00000142541.12"	"RPL13A"	chr19	+	49993106	49993554	49993106	49993179	49993731	49993833
562	"ENSG00000142541.12"	"RPL13A"	chr19	+	49994035	49994356	49994035	49994121	49994681	49994804
593	"ENSG00000131115.11"	"ZNF227"	chr19	+	44732598	44732786	44732598	44732725	44733885	44733969
619	"ENSG00000055950.12"	"MRPL43"	chr10	-	102746443	102746732	102746505	102746732	102743790	102743831
632	"ENSG00000011600.7"	"TYROBP"	chr19	-	36399069	36399197	36399076	36399197	36398347	36398482
675	"ENSG00000182944.13"	"EWSR1"	chr22	+	29684594	29687588	29684594	29684775	29688125	29688158
727	"ENSG00000071564.10"	"TCF3"	chr19	-	1615283	1615820	1615684	1615820	1612205	1612429
735	"ENSG00000070423.13"	"RNF126"	chr19	-	648881	649748	649678	649748	648371	648487
744	"ENSG00000169738.3"	"DCXR"	chr17	-	79994419	79994639	79994596	79994639	79994259	79994324
798	"ENSG00000248049.2"	"UBA6-AS1"	chr4	+	68586139	68586769	68586139	68586350	68587194	68588223
828	"ENSG00000108654.7"	"DDX5"	chr17	-	62496666	62498187	62498127	62498187	62495733	62496444
849	"ENSG00000160469.12"	"BRSK1"	chr19	+	55798581	55798671	55798581	55798667	55800847	55800988
851	"ENSG00000147121.11"	"KRBOX4"	chrX	+	46322632	46322743	46322632	46322728	46330576	46330620
981	"ENSG00000141504.7"	"SAT2"	chr17	-	7530680	7531120	7530870	7531120	7530460	7530544
1023	"ENSG00000169592.10"	"INO80E"	chr16	+	30014970	30015035	30014970	30014991	30015888	30015978
1087	"ENSG00000140939.10"	"NOL3"	chr16	+	67205054	67205360	67205054	67205155	67207910	67207949
1110	"ENSG00000156873.11"	"PHKG2"	chr16	+	30762426	30762924	30762426	30762538	30764552	30764618
1147	"ENSG00000110719.5"	"TCIRG1"	chr11	+	67815113	67815439	67815113	67815271	67816345	67816464
1215	"ENSG00000161996.13"	"WDR90"	chr16	+	703745	705147	703745	703803	705306	705468
1238	"ENSG00000140543.9"	"DET1"	chr15	-	89073853	89074946	89074843	89074946	89070829	89071017
1275	"ENSG00000140400.10"	"MAN2C1"	chr15	-	75650802	75651149	75651044	75651149	75650541	75650685
1320	"ENSG00000092439.9"	"TRPM7"	chr15	-	50867920	50868116	50868065	50868116	50867048	50867332
1360	"ENSG00000105677.7"	"TMEM147"	chr19	+	36037573	36037931	36037573	36037710	36038020	36038142
1373	"ENSG00000115307.12"	"AUP1"	chr2	-	74755877	74756409	74756258	74756409	74755543	74755616
1382	"ENSG00000226777.3"	"KIAA0125"	chr14	+	106386921	106387117	106386921	106387107	106388057	106388203
1428	"ENSG00000188493.10"	"C19orf54"	chr19	-	41248419	41248675	41248481	41248675	41248070	41248094
1505	"ENSG00000213983.7"	"AP1G2"	chr14	-	24032924	24033430	24033254	24033430	24032588	24032711
