ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSG00000225553.3"	"PHF1"	chrGL000256.1	+	4863257	4863356	4863257	4863352	4863615	4863693	0	0	0			79	75	NA	NA	NA		NA
1	"ENSG00000236014.6"	"VPS52"	chrGL000256.1	-	4711756	4711864	4711767	4711864	4711468	4711534	1	0	0			86	75	NA	NA	NA		NA
2	"ENSG00000224242.3"	"BTNL2"	chrGL000256.1	-	3711258	3711606	3711262	3711606	3709955	3710245	2	0	0			79	75	NA	NA	NA		NA
3	"ENSG00000228892.5"	"AGPAT1"	chrGL000256.1	-	3486754	3487010	3486801	3487010	3486441	3486575	3	0	0			122	75	NA	NA	NA		NA
4	"ENSG00000227600.7"	"PPT2"	chrGL000256.1	+	3480082	3480185	3480082	3480161	3481642	3482125	4	0	0			99	75	NA	NA	NA		NA
5	"ENSG00000227600.7"	"PPT2"	chrGL000256.1	+	3481642	3481771	3481642	3481737	3482002	3482125	5	0	0			109	75	NA	NA	NA		NA
6	"ENSG00000236250.4"	"STK19"	chrGL000256.1	+	3279389	3279497	3279389	3279485	3279900	3280040	6	0	0			87	75	NA	NA	NA		NA
7	"ENSG00000228896.5"	"SKIV2L"	chrGL000256.1	+	3269766	3269907	3269766	3269803	3270001	3270238	7	0	0			179	75	NA	NA	NA		NA
8	"ENSG00000224143.6"	"EHMT2"	chrGL000256.1	-	3185410	3185536	3185431	3185536	3185164	3185319	8	0	0			96	75	NA	NA	NA		NA
9	"ENSG00000232180.4"	"SLC44A4"	chrGL000256.1	-	3176329	3176450	3176371	3176450	3175448	3175548	9	0	0			117	75	NA	NA	NA		NA
10	"ENSG00000231945.4"	"VARS"	chrGL000256.1	-	3080629	3080766	3080675	3080766	3080435	3080541	10	0	0			121	75	NA	NA	NA		NA
11	"ENSG00000231945.4"	"VARS"	chrGL000256.1	-	3080873	3081032	3080990	3081032	3080675	3080766	11	0	0			192	75	NA	NA	NA		NA
12	"ENSG00000223833.2"	"NCR3"	chrGL000256.1	-	2888360	2888705	2888415	2888705	2888104	2888212	12	0	0			130	75	NA	NA	NA		NA
13	"ENSG00000206435.6"	"HLA-C"	chrGL000256.1	-	2570746	2571338	2571189	2571338	2570591	2570639	13	0	0			518	75	NA	NA	NA		NA
14	"ENSG00000234549.4"	"ATAT1"	chrGL000256.1	+	1926941	1927330	1926941	1927048	1927515	1927576	14	0	0			357	75	NA	NA	NA		NA
15	"ENSG00000239927.1"	"RPP21"	chrGL000256.1	+	1643052	1643328	1643052	1643153	1644186	1644312	15	0	0			250	75	NA	NA	NA		NA
16	"ENSG00000239927.1"	"RPP21"	chrGL000256.1	+	1644186	1644319	1644186	1644312	1644467	1644612	16	0	0			82	75	NA	NA	NA		NA
17	"ENSG00000234046.3"	"TRIM26"	chrGL000256.1	-	1496848	1497336	1497073	1497336	1496611	1496707	17	0	0			300	75	NA	NA	NA		NA
18	"ENSG00000206284.4"	"WDR46"	chrGL000255.1	-	4488583	4488714	4488633	4488714	4488377	4488490	18	0	0			125	75	NA	NA	NA		NA
19	"ENSG00000242685.3"	"HLA-DMA"	chrGL000255.1	-	4149176	4149305	4149179	4149305	4148515	4148774	19	0	0			78	75	NA	NA	NA		NA
20	"ENSG00000229597.3"	"BTNL2"	chrGL000255.1	-	3624673	3625021	3624677	3625021	3623370	3623660	20	0	0			79	75	NA	NA	NA		NA
21	"ENSG00000206320.8"	"AGER"	chrGL000255.1	-	3412072	3412185	3412120	3412185	3411910	3411998	21	0	0			123	75	NA	NA	NA		NA
22	"ENSG00000206324.7"	"AGPAT1"	chrGL000255.1	-	3400046	3400302	3400093	3400302	3399733	3399867	22	0	0			122	75	NA	NA	NA		NA
23	"ENSG00000254875.4"	"EGFL8"	chrGL000255.1	+	3393375	3393478	3393375	3393454	3394934	3395417	23	0	0			99	75	NA	NA	NA		NA
24	"ENSG00000254875.4"	"EGFL8"	chrGL000255.1	+	3394934	3395063	3394934	3395029	3395294	3395417	24	0	0			109	75	NA	NA	NA		NA
25	"ENSG00000206353.7"	"SKIV2L"	chrGL000255.1	+	3230845	3230986	3230845	3230882	3231080	3231317	25	0	0			179	75	NA	NA	NA		NA
26	"ENSG00000206376.5"	"EHMT2"	chrGL000255.1	-	3146458	3146584	3146479	3146584	3146212	3146367	26	0	0			96	75	NA	NA	NA		NA
27	"ENSG00000206378.6"	"SLC44A4"	chrGL000255.1	-	3137378	3137499	3137420	3137499	3136497	3136597	27	0	0			117	75	NA	NA	NA		NA
28	"ENSG00000206380.7"	"C6orf48"	chrGL000255.1	+	3096343	3096636	3096343	3096493	3096845	3096886	28	0	0			218	75	NA	NA	NA		NA
29	"ENSG00000206430.4"	"NCR3"	chrGL000255.1	-	2851200	2851545	2851255	2851545	2850944	2851052	29	0	0			130	75	NA	NA	NA		NA
30	"ENSG00000206457.6"	"CCHCR1"	chrGL000255.1	-	2408242	2408402	2408300	2408402	2406872	2407024	30	0	0			133	75	NA	NA	NA		NA
31	"ENSG00000206476.9"	"VARS2"	chrGL000255.1	+	2174966	2175799	2174966	2175106	2175917	2175999	31	0	0			768	75	NA	NA	NA		NA
32	"ENSG00000206476.9"	"VARS2"	chrGL000255.1	+	2177632	2177739	2177632	2177714	2177859	2177979	32	0	0			100	75	NA	NA	NA		NA
33	"ENSG00000206487.7"	"C6orf136"	chrGL000255.1	+	1911677	1911784	1911677	1911766	1911949	1912150	33	0	0			93	75	NA	NA	NA		NA
34	"ENSG00000206488.6"	"ATAT1"	chrGL000255.1	+	1887569	1887958	1887569	1887676	1888143	1888204	34	0	0			357	75	NA	NA	NA		NA
