ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
651	"ENSG00000068366.15"	"ACSL4"	chrX	-	108926364	108926604	108926364	108926601	108939372	108939425
654	"ENSG00000068366.15"	"ACSL4"	chrX	-	108926364	108926781	108926364	108926604	108939372	108939425
655	"ENSG00000068366.15"	"ACSL4"	chrX	-	108926364	108926895	108926364	108926604	108939372	108939425
659	"ENSG00000123572.12"	"NRK"	chrX	+	105193566	105193726	105193590	105193726	105190306	105190456
696	"ENSG00000068400.9"	"GRIPAP1"	chrX	-	48847337	48847522	48847337	48847514	48853661	48853769
702	"ENSG00000102312.16"	"PORCN"	chrX	+	48368171	48368344	48368280	48368344	48367811	48368095
714	"ENSG00000177189.8"	"RPS6KA3"	chrX	-	20258686	20258787	20258686	20258723	20259710	20259806
748	"ENSG00000100417.7"	"PMM1"	chr22	-	41979962	41980376	41979962	41980062	41980530	41980607
757	"ENSG00000100151.11"	"PICK1"	chr22	+	38469779	38470458	38470313	38470458	38469006	38469099
768	"ENSG00000100284.16"	"TOM1"	chr22	+	35718991	35719170	35719020	35719170	35713869	35713954
782	"ENSG00000183963.14"	"SMTN"	chr22	+	31495047	31495882	31495730	31495882	31494652	31494826
912	"ENSG00000159131.12"	"GART"	chr21	-	34911476	34911662	34911476	34911629	34914853	34915126
928	"ENSG00000258366.3"	"RTEL1"	chr20	+	62321318	62321563	62321439	62321563	62321198	62321218
949	"ENSG00000124228.10"	"DDX27"	chr20	+	47860165	47860614	47860352	47860614	47859130	47859218
981	"ENSG00000080845.13"	"DLGAP4"	chr20	+	35127990	35128079	35128005	35128079	35125849	35126005
1024	"ENSG00000125846.11"	"ZNF133"	chr20	+	18286311	18286451	18286324	18286451	18285728	18285822
1033	"ENSG00000089057.10"	"SLC23A2"	chr20	-	4951438	4951565	4951438	4951561	4982051	4982153
1065	"ENSG00000063241.3"	"ISOC2"	chr19	-	55966626	55966745	55966626	55966697	55967715	55967856
1079	"ENSG00000167614.9"	"TTYH1"	chr19	+	54947267	54947351	54947270	54947351	54946721	54946864
1169	"ENSG00000105409.11"	"ATP1A3"	chr19	-	42470733	42471492	42470733	42471117	42471813	42471915
1267	"ENSG00000152234.11"	"ATP5A1"	chr18	-	43675018	43675097	43675018	43675089	43678137	43678319
1298	"ENSG00000130304.12"	"SLC27A1"	chr19	+	17597371	17598144	17597982	17598144	17581348	17581516
1350	"ENSG00000105607.8"	"GCDH"	chr19	+	13008116	13008677	13008516	13008677	13007723	13007827
1374	"ENSG00000183401.7"	"CCDC159"	chr19	+	11460251	11460363	11460329	11460363	11459641	11459759
1488	"ENSG00000160808.5"	"MYL3"	chr3	-	46899361	46899762	46899361	46899591	46899873	46899951
1498	"ENSG00000169738.3"	"DCXR"	chr17	-	79994066	79994324	79994066	79994184	79994419	79994519
1499	"ENSG00000169738.3"	"DCXR"	chr17	-	79994066	79994519	79994066	79994184	79994596	79994639
1536	"ENSG00000007384.11"	"RHBDF1"	chr16	-	108971	109125	108971	109091	109246	109347
1559	"ENSG00000101639.14"	"CEP192"	chr18	+	13116372	13116502	13116375	13116502	13113584	13113704
1560	"ENSG00000101639.14"	"CEP192"	chr18	+	13116372	13116502	13116375	13116502	13114128	13114250
1595	"ENSG00000011304.12"	"PTBP1"	chr19	+	808359	808452	808379	808452	806407	806556
1621	"ENSG00000106245.5"	"BUD31"	chr7	+	99007656	99007792	99007659	99007792	99006707	99006868
1644	"ENSG00000131080.10"	"EDA2R"	chrX	-	65819325	65819708	65819325	65819702	65822474	65822639
1647	"ENSG00000068097.10"	"HEATR6"	chr17	-	58143569	58143757	58143569	58143747	58144791	58145093
1702	"ENSG00000161649.8"	"CD300LG"	chr17	+	41931174	41931412	41931327	41931412	41930279	41930381
1727	"ENSG00000132142.15"	"ACACA"	chr17	-	35687112	35687365	35687112	35687275	35696763	35696810
1747	"ENSG00000108509.16"	"CAMTA2"	chr17	-	4884972	4885126	4884972	4885037	4885383	4885522
1766	"ENSG00000126254.7"	"RBM42"	chr19	+	36123978	36124154	36123999	36124154	36123837	36123903
1774	"ENSG00000126705.9"	"AHDC1"	chr1	-	27879584	27879801	27879584	27879696	27884815	27885041
1787	"ENSG00000108591.5"	"DRG2"	chr17	+	18007873	18007995	18007936	18007995	18007114	18007203
1851	"ENSG00000129219.9"	"PLD2"	chr17	+	4711278	4711711	4711568	4711711	4711066	4711176
1854	"ENSG00000168610.10"	"STAT3"	chr17	-	40500406	40500557	40500406	40500535	40526076	40526224
1859	"ENSG00000138303.13"	"ASCC1"	chr10	-	73972944	73973089	73972944	73973035	73976578	73976892
1894	"ENSG00000185761.6"	"ADAMTSL5"	chr19	-	1505865	1506315	1505865	1506307	1506737	1506927
1896	"ENSG00000185761.6"	"ADAMTSL5"	chr19	-	1510843	1511159	1510843	1510916	1511623	1511771
1911	"ENSG00000186951.12"	"PPARA"	chr22	+	46594238	46594488	46594241	46594488	46547790	46547873
2002	"ENSG00000153885.10"	"KCTD15"	chr19	+	34289572	34289671	34289575	34289671	34289241	34289295
2054	"ENSG00000169682.13"	"SPNS1"	chr16	+	28986504	28986713	28986508	28986713	28986114	28986421
2089	"ENSG00000125170.6"	"DOK4"	chr16	-	57513353	57513600	57513353	57513597	57520216	57520407
2214	"ENSG00000085831.11"	"TTC39A"	chr1	-	51774932	51775102	51774932	51774997	51778483	51778615
2230	"ENSG00000102901.8"	"CENPT"	chr16	-	67863667	67864451	67863667	67863991	67865118	67865261
2255	"ENSG00000105193.4"	"RPS16"	chr19	-	39926246	39926348	39926246	39926345	39926487	39926588
2258	"ENSG00000140400.10"	"MAN2C1"	chr15	-	75651399	75651766	75651399	75651494	75651960	75652116
2298	"ENSG00000140416.15"	"TPM1"	chr15	+	63353396	63354476	63354413	63354476	63353067	63353138
2389	"ENSG00000114062.13"	"UBE3A"	chr15	-	25652213	25652409	25652213	25652284	25653766	25653795
