ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
107	"ENSG00000197565.11"	"COL4A6"	chrX	-	107437763	107437871	107438311	107438356	107436857	107436927	107439740	107439809
115	"ENSG00000131089.9"	"ARHGEF9"	chrX	-	62863859	62863928	62875373	62875617	62857861	62858089	62885765	62885897
124	"ENSG00000198947.10"	"DMD"	chrX	-	31191655	31191721	31196048	31196087	31190464	31190530	31196785	31196922
125	"ENSG00000184831.9"	"APOO"	chrX	-	23858429	23858494	23874418	23874499	23851469	23851729	23876758	23876850
143	"ENSG00000100320.18"	"RBFOX2"	chr22	-	36164303	36164396	36174071	36174125	36161469	36161530	36177646	36177790
150	"ENSG00000160305.13"	"DIP2A"	chr21	+	47918494	47918746	47924270	47924402	47916900	47917020	47929169	47929289
170	"ENSG00000241837.2"	"ATP5O"	chr21	-	35279644	35279757	35281385	35281515	35276238	35276325	35284592	35284703
172	"ENSG00000249624.4"	"AP000295.9"	chr21	+	34640698	34640822	34648900	34649058	34624966	34625135	34652056	34652223
175	"ENSG00000142192.16"	"APP"	chr21	-	27277335	27277389	27284052	27284274	27269884	27269985	27326903	27327003
177	"ENSG00000155313.11"	"USP25"	chr21	+	17219981	17220095	17222095	17222191	17214716	17214859	17236586	17236765
179	"ENSG00000149657.15"	"LSM14B"	chr20	+	60702640	60702757	60704840	60705008	60701359	60701495	60705274	60705352
190	"ENSG00000025293.11"	"PHF20"	chr20	+	34435271	34435356	34446223	34446303	34430494	34430666	34450934	34451322
192	"ENSG00000272897.1"	"RP1-309K20.6"	chr20	-	34220716	34220845	34243123	34243266	34220438	34220618	34246851	34246936
193	"ENSG00000088298.8"	"EDEM2"	chr20	-	33719444	33719586	33725682	33725808	33714053	33714178	33730175	33730281
198	"ENSG00000101294.12"	"HM13"	chr20	+	30154012	30154098	30155880	30156027	30149436	30149539	30156922	30157370
199	"ENSG00000101294.12"	"HM13"	chr20	+	30154012	30154098	30155880	30156083	30149436	30149539	30156922	30157370
204	"ENSG00000089101.13"	"C20orf26"	chr20	+	20140013	20140088	20144693	20144872	20123500	20123592	20147040	20147080
212	"ENSG00000104863.7"	"LIN7B"	chr19	+	49618516	49618588	49619519	49619729	49618105	49618224	49621111	49621275
218	"ENSG00000091732.11"	"ZC3HC1"	chr7	-	129663350	129663563	129664102	129664346	129662158	129662365	129665997	129666152
222	"ENSG00000029534.15"	"ANK1"	chr8	-	41521176	41521260	41522322	41522427	41519399	41519459	41523050	41523348
230	"ENSG00000267120.3"	"AD000671.6"	chr19	-	36230610	36230989	36231280	36231465	36230152	36230527	36231924	36232129
233	"ENSG00000105220.10"	"GPI"	chr19	+	34887485	34887562	34890111	34890240	34887205	34887335	34890460	34890536
236	"ENSG00000257379.1"	"RP11-793H13.8"	chr12	+	53849668	53849785	53853055	53853187	53849244	53849277	53854798	53854927
237	"ENSG00000257379.1"	"RP11-793H13.8"	chr12	+	53858543	53858636	53859715	53859757	53856276	53856351	53861004	53861312
245	"ENSG00000127527.9"	"EPS15L1"	chr19	-	16472589	16472795	16487932	16488065	16466049	16466662	16495939	16496022
251	"ENSG00000115464.10"	"USP34"	chr2	-	61420035	61420115	61431390	61431515	61417652	61417793	61431631	61431736
255	"ENSG00000125648.10"	"SLC25A23"	chr19	-	6452322	6452490	6453991	6454099	6444161	6444312	6454333	6454486
262	"ENSG00000167733.9"	"HSD11B1L"	chr19	+	5684999	5685130	5687292	5687386	5684829	5684916	5687513	5687679
265	"ENSG00000077009.9"	"NMRK2"	chr19	+	3939897	3939969	3941068	3941175	3938600	3938757	3942080	3942367
271	"ENSG00000160808.5"	"MYL3"	chr3	-	46902165	46902315	46902449	46902477	46900964	46901138	46904751	46904932
275	"ENSG00000074657.9"	"ZNF532"	chr18	+	56606676	56606853	56615298	56615461	56601664	56601846	56620749	56621031
313	"ENSG00000132199.14"	"ENOSF1"	chr18	-	691067	691106	691203	691276	690548	690631	693881	693908
316	"ENSG00000104936.13"	"DMPK"	chr19	-	46274228	46274318	46274607	46274654	46272974	46273898	46274825	46274923
321	"ENSG00000267060.1"	"PTGES3L"	chr17	-	41123623	41123713	41131186	41131285	41122305	41122359	41131394	41131461
325	"ENSG00000182534.9"	"MXRA7"	chr17	-	74681153	74681247	74684194	74684258	74668632	74673784	74706686	74707037
331	"ENSG00000159640.10"	"ACE"	chr17	+	61571732	61571831	61573754	61573877	61571282	61571427	61574158	61574346
332	"ENSG00000146872.13"	"TLK2"	chr17	+	60600494	60600538	60601596	60601692	60599564	60599634	60613530	60613698
354	"ENSG00000172660.7"	"TAF15"	chr17	+	34136975	34137067	34144243	34144321	34136487	34136580	34144719	34144759
359	"ENSG00000119979.11"	"FAM45A"	chr10	+	120867459	120867676	120871360	120871440	120863628	120863709	120877030	120877179
374	"ENSG00000138069.12"	"RAB1A"	chr2	-	65318116	65318212	65325104	65325200	65315004	65315824	65331867	65331940
376	"ENSG00000129250.7"	"KIF1C"	chr17	+	4903144	4903265	4903514	4903647	4901242	4901451	4904066	4904143
377	"ENSG00000155657.19"	"TTN"	chr2	-	179393254	179393946	179394686	179394843	179393000	179393154	179394967	179400576
379	"ENSG00000155657.19"	"TTN"	chr2	-	179654704	179654842	179655434	179655572	179654086	179654224	179656798	179656924
391	"ENSG00000154553.9"	"PDLIM3"	chr4	-	186435423	186435491	186435856	186436044	186427675	186427806	186444515	186444600
404	"ENSG00000065427.10"	"KARS"	chr16	-	75674081	75674247	75675461	75675621	75670351	75670445	75678180	75678360
405	"ENSG00000065427.10"	"KARS"	chr16	-	75675461	75675621	75678180	75678360	75674081	75674247	75681361	75681553
428	"ENSG00000088682.9"	"COQ9"	chr16	+	57490842	57490927	57492157	57492262	57490415	57490558	57493476	57493632
446	"ENSG00000103316.6"	"CRYM"	chr16	-	21278874	21279058	21281110	21281212	21272612	21273479	21286852	21286915
453	"ENSG00000156162.12"	"DPY19L4"	chr8	+	95746857	95746982	95750596	95750687	95738558	95738669	95751640	95751762
461	"ENSG00000172366.15"	"FAM195A"	chr16	+	692119	692249	697782	697884	691812	692043	698119	698474
462	"ENSG00000172366.15"	"FAM195A"	chr16	+	697416	697544	697782	697884	692119	692249	698119	698474
463	"ENSG00000130731.11"	"C16orf13"	chr16	-	684888	684956	685280	685340	684718	684797	685611	685774
483	"ENSG00000130529.11"	"TRPM4"	chr19	+	49675265	49675365	49684605	49684718	49674834	49675026	49685834	49686179
499	"ENSG00000140416.15"	"TPM1"	chr15	+	63353911	63353987	63354413	63354476	63353067	63353138	63354774	63354844
500	"ENSG00000140416.15"	"TPM1"	chr15	+	63353911	63353987	63354413	63354476	63353396	63353472	63354774	63354844
501	"ENSG00000140416.15"	"TPM1"	chr15	+	63354413	63354476	63354774	63354844	63353911	63353987	63356262	63356341
502	"ENSG00000263155.1"	"MYZAP"	chr15	+	57910230	57910386	57913805	57913898	57896466	57896553	57917976	57918007
503	"ENSG00000263155.1"	"MYZAP"	chr15	+	57913805	57913898	57917976	57918090	57910230	57910386	57921899	57922052
514	"ENSG00000172785.14"	"CBWD1"	chr9	-	152033	152078	154708	154795	134978	135030	156480	156527
518	"ENSG00000187446.7"	"CHP1"	chr15	+	41554953	41555081	41562754	41562816	41549107	41549188	41570964	41571087
524	"ENSG00000105677.7"	"TMEM147"	chr19	+	36036789	36036859	36037427	36037487	36036496	36036718	36037573	36037710
525	"ENSG00000105677.7"	"TMEM147"	chr19	+	36037427	36037487	36037573	36037931	36036789	36036859	36038020	36038142
574	"ENSG00000204392.6"	"LSM2"	chr6	-	31765766	31765826	31766253	31766284	31765172	31765659	31773851	31773919
576	"ENSG00000008441.12"	"NFIX"	chr19	+	13189426	13189549	13192493	13192669	13186348	13186485	13201112	13201204
577	"ENSG00000008441.12"	"NFIX"	chr19	+	13192493	13192669	13201112	13201204	13186348	13186485	13205448	13209610
578	"ENSG00000008441.12"	"NFIX"	chr19	+	13192493	13192669	13201112	13201204	13189426	13189549	13205448	13205463
580	"ENSG00000168502.13"	"SOGA2"	chr18	+	8785933	8786089	8792995	8793118	8783527	8784841	8796229	8796460
581	"ENSG00000151327.8"	"FAM177A1"	chr14	+	35522483	35522657	35546355	35546422	35515608	35515834	35548132	35548230
584	"ENSG00000129493.10"	"HEATR5A"	chr14	-	31771500	31771725	31774110	31774383	31765114	31765269	31775937	31776085
590	"ENSG00000071889.12"	"FAM3A"	chrX	-	153736141	153736192	153736619	153736678	153735736	153735821	153736804	153736928
595	"ENSG00000133454.11"	"MYO18B"	chr22	+	26181394	26181458	26193919	26194064	26177700	26177801	26219471	26219645
598	"ENSG00000169062.10"	"UPF3A"	chr13	+	115051993	115052104	115056963	115057019	115048311	115048418	115057108	115057267
599	"ENSG00000183087.10"	"GAS6"	chr13	-	114537523	114537645	114538485	114538608	114535606	114535725	114541041	114541164
600	"ENSG00000068650.14"	"ATP11A"	chr13	+	113514600	113514728	113516753	113516889	113513706	113513766	113526048	113526114
