ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
322	"ENSG00000131089.9"	"ARHGEF9"	chrX	-	62974183	62974556	62974194	62974556	62944411	62944591
338	"ENSG00000012211.8"	"PRICKLE3"	chrX	-	49040111	49040370	49040186	49040370	49035599	49035737
343	"ENSG00000102312.16"	"PORCN"	chrX	+	48370279	48370895	48370279	48370323	48372627	48372753
441	"ENSG00000166979.8"	"EVA1C"	chr21	+	33873724	33873805	33873724	33873796	33887123	33887699
455	"ENSG00000130703.11"	"OSBPL2"	chr20	+	60854212	60854405	60854212	60854395	60855064	60855277
478	"ENSG00000101052.8"	"IFT52"	chr20	+	42233641	42233856	42233641	42233713	42242489	42242616
492	"ENSG00000088340.11"	"FER1L4"	chr20	-	34147889	34148405	34148306	34148405	34147110	34147394
495	"ENSG00000100983.5"	"GSS"	chr20	-	33530290	33530809	33530733	33530809	33529515	33529632
559	"ENSG00000142534.2"	"RPS11"	chr19	+	50000450	50001303	50000450	50000852	50002768	50002946
561	"ENSG00000142541.12"	"RPL13A"	chr19	+	49993106	49993554	49993106	49993179	49993731	49993833
601	"ENSG00000267107.2"	"AC011526.1"	chr19	-	42000447	42001335	42001209	42001335	41984988	41985192
609	"ENSG00000160410.10"	"SHKBP1"	chr19	+	41083462	41083615	41083462	41083536	41084367	41084448
620	"ENSG00000055950.12"	"MRPL43"	chr10	-	102746443	102746732	102746505	102746732	102743511	102743574
629	"ENSG00000239382.6"	"ALKBH6"	chr19	-	36503902	36503991	36503922	36503991	36501795	36501947
634	"ENSG00000011600.7"	"TYROBP"	chr19	-	36399069	36399197	36399076	36399197	36398347	36398482
647	"ENSG00000006042.7"	"TMEM98"	chr17	+	31258344	31258677	31258344	31258420	31260191	31260323
662	"ENSG00000214046.4"	"SMIM7"	chr19	-	16757906	16758072	16757930	16758072	16742187	16742475
674	"ENSG00000115464.10"	"USP34"	chr2	-	61433894	61436112	61436033	61436112	61433151	61433259
680	"ENSG00000182944.13"	"EWSR1"	chr22	+	29684594	29687588	29684594	29684775	29688125	29688158
698	"ENSG00000198258.6"	"UBL5"	chr19	+	9939002	9939069	9939002	9939065	9939267	9939351
711	"ENSG00000165271.12"	"NOL6"	chr9	-	33469204	33470189	33470009	33470189	33468955	33469119
734	"ENSG00000071564.10"	"TCF3"	chr19	-	1615283	1615820	1615684	1615820	1612205	1612429
739	"ENSG00000117481.6"	"NSUN4"	chr1	+	46810472	46810816	46810472	46810634	46818539	46818700
747	"ENSG00000186522.10"	"SEPT10"	chr2	-	110350623	110350696	110350627	110350696	110343302	110343415
752	"ENSG00000169738.3"	"DCXR"	chr17	-	79994419	79994639	79994596	79994639	79994066	79994184
774	"ENSG00000007384.11"	"RHBDF1"	chr16	-	109246	109347	109296	109347	108971	109091
807	"ENSG00000248049.2"	"UBA6-AS1"	chr4	+	68586139	68586769	68586139	68586350	68587194	68588223
837	"ENSG00000068745.10"	"IP6K2"	chr3	-	48732126	48732854	48732522	48732854	48731891	48731958
846	"ENSG00000068097.10"	"HEATR6"	chr17	-	58144791	58145093	58144794	58145093	58143569	58143747
859	"ENSG00000160469.12"	"BRSK1"	chr19	+	55798581	55798671	55798581	55798667	55800847	55800988
861	"ENSG00000147121.11"	"KRBOX4"	chrX	+	46322632	46322743	46322632	46322728	46330576	46330620
875	"ENSG00000181513.10"	"ACBD4"	chr17	+	43212707	43212963	43212707	43212959	43213208	43213320
941	"ENSG00000266733.1"	"TBC1D29"	chr17	+	28886583	28887734	28886583	28886744	28890217	28890493
993	"ENSG00000141504.7"	"SAT2"	chr17	-	7530680	7531120	7530870	7531120	7530460	7530544
997	"ENSG00000132522.11"	"GPS2"	chr17	-	7216886	7217307	7217224	7217307	7216530	7216610
1019	"ENSG00000108953.12"	"YWHAE"	chr17	-	1265195	1265302	1265223	1265302	1264385	1264592
1031	"ENSG00000159176.9"	"CSRP1"	chr1	-	201457982	201458112	201458000	201458112	201454410	201454504
