ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
1505	"ENSG00000228296.1"	"TTTY4C"	chrY	-	27218792	27218868	27216880	27216988	27245878	27246039
1536	"ENSG00000131002.7"	"TXLNG2P"	chrY	+	21764101	21764197	21761624	21761717	21765682	21765937
1550	"ENSG00000183878.11"	"UTY"	chrY	-	15447442	15448215	15438100	15438230	15466882	15467278
1556	"ENSG00000183878.11"	"UTY"	chrY	-	15481135	15481229	15478146	15478273	15505738	15505773
1558	"ENSG00000067048.12"	"DDX3Y"	chrY	+	15019447	15019505	15016741	15016892	15021270	15021318
1559	"ENSG00000067048.12"	"DDX3Y"	chrY	+	15026795	15026894	15026475	15026561	15026978	15027139
1560	"ENSG00000233864.3"	"TTTY15"	chrY	+	14776570	14776617	14774264	14774637	14798441	14798535
1569	"ENSG00000092377.9"	"TBL1Y"	chrY	+	6893075	6893183	6889489	6889578	6911020	6911166
1570	"ENSG00000092377.9"	"TBL1Y"	chrY	+	6938236	6938369	6931937	6932190	6938760	6938902
1578	"ENSG00000129824.11"	"RPS4Y1"	chrY	+	2733128	2733286	2722136	2722812	2734833	2734903
1597	"ENSG00000214827.5"	"MTCP1"	chrX	-	154293893	154294064	154292240	154292308	154298968	154299411
1602	"ENSG00000165775.13"	"FUNDC2"	chrX	+	154279944	154280076	154274783	154274859	154282869	154282888
1609	"ENSG00000203879.7"	"GDI1"	chrX	+	153670457	153670602	153668870	153670141	153670720	153670775
1630	"ENSG00000130821.11"	"SLC6A8"	chrX	+	152959584	152959722	152959359	152959472	152959798	152959875
1671	"ENSG00000241769.3"	"LINC00893"	chrX	-	148620256	148620439	148619646	148619704	148621917	148621999
1674	"ENSG00000241489.3"	"IDS"	chrX	-	148579637	148579838	148577876	148578047	148582479	148582568
1689	"ENSG00000234062.3"	"RP11-308D16.4"	chrX	+	136101445	136101500	136077005	136077154	136103570	136103789
1693	"ENSG00000129675.11"	"ARHGEF6"	chrX	-	135760094	135760115	135758782	135758876	135761693	135761819
