ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
703	"ENSG00000100258.13"	"LMF2"	chr22	-	50943485	50943966	50943485	50943582	50943831	50943966
709	"ENSG00000205593.7"	"DENND6B"	chr22	-	50754453	50754904	50754453	50754516	50754798	50754904
759	"ENSG00000133460.15"	"SLC2A11"	chr22	+	24225958	24226616	24225958	24226060	24226488	24226616
901	"ENSG00000196209.8"	"SIRPB2"	chr20	-	1460344	1460710	1460344	1460439	1460638	1460710
961	"ENSG00000213024.6"	"NUP62"	chr19	-	50430950	50432761	50430950	50431072	50432673	50432761
969	"ENSG00000142534.2"	"RPS11"	chr19	+	50000450	50001303	50000450	50000539	50000776	50001303
1048	"ENSG00000104518.6"	"GSDMD"	chr8	+	144641946	144643593	144641946	144642139	144643539	144643593
1089	"ENSG00000092929.7"	"UNC13D"	chr17	-	73835919	73836410	73835919	73836023	73836305	73836410
1105	"ENSG00000105122.8"	"RASAL3"	chr19	-	15562434	15563626	15562434	15562749	15563468	15563626
1170	"ENSG00000198258.6"	"UBL5"	chr19	+	9939002	9939351	9939002	9939065	9939267	9939351
1312	"ENSG00000132199.14"	"ENOSF1"	chr18	-	690548	691276	690548	690631	691203	691276
1377	"ENSG00000136450.8"	"SRSF1"	chr17	-	56082283	56083334	56082283	56082402	56083161	56083334
1428	"ENSG00000141736.9"	"ERBB2"	chr17	+	37871992	37872858	37871992	37872192	37872767	37872858
1545	"ENSG00000015413.5"	"DPEP1"	chr16	+	89703875	89704379	89703875	89703960	89704243	89704379
1574	"ENSG00000100316.11"	"RPL3"	chr22	-	39709195	39710213	39709195	39709315	39710111	39710213
1744	"ENSG00000214078.7"	"CPNE1"	chr20	-	34218360	34218956	34218360	34218412	34218822	34218956
1769	"ENSG00000167962.8"	"ZNF598"	chr16	-	2052521	2053729	2052521	2052733	2053616	2053729
1935	"ENSG00000243708.4"	"PLA2G4B"	chr15	+	42133428	42134147	42133428	42133471	42134016	42134147
1977	"ENSG00000160948.9"	"VPS28"	chr8	-	145650100	145651155	145650100	145650202	145651065	145651155
2112	"ENSG00000092010.10"	"PSME1"	chr14	+	24606193	24606640	24606193	24606226	24606529	24606640
2143	"ENSG00000184056.10"	"VPS33B"	chr15	-	91549601	91550276	91549601	91549675	91550179	91550276
2326	"ENSG00000105650.17"	"PDE4C"	chr19	-	18331212	18331733	18331212	18331518	18331683	18331733
2407	"ENSG00000140983.9"	"RHOT2"	chr16	+	718487	718699	718487	718569	718658	718699
2708	"ENSG00000168067.7"	"MAP4K2"	chr11	-	64559380	64559894	64559380	64559558	64559835	64559894
3107	"ENSG00000168010.6"	"ATG16L2"	chr11	+	72537562	72538338	72537562	72537634	72538232	72538338
3172	"ENSG00000102225.11"	"CDK16"	chrX	+	47085363	47086102	47085363	47085426	47085981	47086102
3196	"ENSG00000197958.8"	"RPL12"	chr9	-	130211888	130213684	130211888	130211987	130213328	130213684
3262	"ENSG00000142910.11"	"TINAGL1"	chr1	+	32048749	32050402	32048749	32048842	32050278	32050402
3266	"ENSG00000142910.11"	"TINAGL1"	chr1	+	32051040	32052356	32051040	32051086	32052310	32052356
3337	"ENSG00000213930.7"	"GALT"	chr9	+	34647488	34647958	34647488	34647564	34647828	34647958
3460	"ENSG00000082068.4"	"WDR70"	chr5	+	37721216	37725152	37721216	37721317	37725035	37725152
3524	"ENSG00000160818.12"	"GPATCH4"	chr1	-	156565872	156567913	156565872	156565923	156567826	156567913
3529	"ENSG00000172638.8"	"EFEMP2"	chr11	-	65634315	65634550	65634315	65634405	65634491	65634550
3552	"ENSG00000012171.13"	"SEMA3B"	chr3	+	50312273	50312890	50312273	50312365	50312732	50312890
3593	"ENSG00000147454.9"	"SLC25A37"	chr8	+	23423620	23425891	23423620	23424326	23425771	23425891
3789	"ENSG00000053900.6"	"ANAPC4"	chr4	+	25415266	25416126	25415266	25415364	25416087	25416126
3860	"ENSG00000143549.15"	"TPM3"	chr1	-	154143124	154145454	154143124	154143187	154145383	154145454
4420	"ENSG00000204301.5"	"NOTCH4"	chr6	-	32168893	32171659	32168893	32169277	32171546	32171659
4451	"ENSG00000188906.9"	"LRRK2"	chr12	+	40758643	40763087	40758643	40758852	40761445	40763087
4493	"ENSG00000198677.6"	"TTC37"	chr5	-	94852228	94852764	94852228	94852290	94852619	94852764
4532	"ENSG00000162777.12"	"DENND2D"	chr1	-	111738537	111740611	111738537	111738678	111740541	111740611
4963	"ENSG00000102977.9"	"ACD"	chr16	-	67692830	67693516	67692830	67692982	67693439	67693516
5028	"ENSG00000197816.9"	"CCDC180"	chr9	+	100132922	100136930	100132922	100133060	100136824	100136930
5155	"ENSG00000179583.13"	"CIITA"	chr16	+	11000355	11003044	11000355	11002006	11002839	11003044
5224	"ENSG00000143303.7"	"RRNAD1"	chr1	+	156701782	156702265	156701782	156701907	156702157	156702265
5335	"ENSG00000141141.10"	"DDX52"	chr17	-	35979812	35981322	35979812	35979884	35981171	35981322
5371	"ENSG00000144635.4"	"DYNC1LI1"	chr3	-	32571775	32574589	32571775	32571820	32574477	32574589
5375	"ENSG00000111325.12"	"OGFOD2"	chr12	+	123460357	123461314	123460357	123460414	123461130	123461314
5406	"ENSG00000171824.9"	"EXOSC10"	chr1	-	11136898	11137708	11136898	11137005	11137657	11137708
5523	"ENSG00000234741.3"	"GAS5"	chr1	-	173833394	173834420	173833394	173833442	173834366	173834420
5551	"ENSG00000168090.5"	"COPS6"	chr7	+	99688214	99688775	99688214	99688277	99688660	99688775
5838	"ENSG00000160271.10"	"RALGDS"	chr9	-	135973106	135977149	135973106	135974149	135976906	135977149
5907	"ENSG00000213145.5"	"CRIP1"	chr14	+	105952653	105954725	105952653	105953636	105954667	105954725
6017	"ENSG00000165525.13"	"NEMF"	chr14	-	50251642	50252038	50251642	50251722	50251937	50252038
