ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
600	"ENSG00000131002.7"	"TXLNG2P"	chrY	+	21755284	21759551	21755284	21755479	21759476	21759551
797	"ENSG00000141959.12"	"PFKL"	chr21	+	45744738	45745943	45744738	45744800	45745843	45745943
959	"ENSG00000213024.6"	"NUP62"	chr19	-	50430950	50432761	50430950	50431072	50432673	50432761
1100	"ENSG00000105122.8"	"RASAL3"	chr19	-	15562434	15563626	15562434	15562749	15563468	15563626
1171	"ENSG00000223705.5"	"NSUN5P1"	chr7	+	75044869	75045469	75044869	75045048	75045380	75045469
1281	"ENSG00000007384.11"	"RHBDF1"	chr16	-	108971	109347	108971	109091	109246	109347
1308	"ENSG00000132199.14"	"ENOSF1"	chr18	-	690548	691276	690548	690631	691203	691276
1373	"ENSG00000136450.8"	"SRSF1"	chr17	-	56082283	56083334	56082283	56082402	56083161	56083334
1381	"ENSG00000005884.13"	"ITGA3"	chr17	+	48153947	48154811	48153947	48154045	48154742	48154811
1538	"ENSG00000185324.17"	"CDK10"	chr16	+	89759681	89760640	89759681	89759734	89760580	89760640
1570	"ENSG00000100316.11"	"RPL3"	chr22	-	39709195	39710213	39709195	39709315	39710111	39710213
1707	"ENSG00000197363.5"	"ZNF517"	chr8	+	146028254	146029623	146028254	146028332	146029530	146029623
1741	"ENSG00000214078.7"	"CPNE1"	chr20	-	34218360	34218956	34218360	34218412	34218822	34218956
1931	"ENSG00000243708.4"	"PLA2G4B"	chr15	+	42133428	42134147	42133428	42133471	42134016	42134147
1958	"ENSG00000105677.7"	"TMEM147"	chr19	+	36037573	36038142	36037573	36037710	36038020	36038142
2637	"ENSG00000105426.10"	"PTPRS"	chr19	-	5218430	5219478	5218430	5218543	5219320	5219478
3245	"ENSG00000159377.6"	"PSMB4"	chr1	+	151372917	151373831	151372917	151373064	151373714	151373831
3255	"ENSG00000142910.11"	"TINAGL1"	chr1	+	32051040	32052356	32051040	32051086	32052310	32052356
3678	"ENSG00000135409.6"	"AMHR2"	chr12	+	53819238	53819703	53819238	53819357	53819469	53819703
3843	"ENSG00000143549.15"	"TPM3"	chr1	-	154143124	154145454	154143124	154143187	154145383	154145454
4052	"ENSG00000173531.11"	"MST1"	chr3	-	49722170	49722939	49722170	49722388	49722903	49722939
4577	"ENSG00000114626.13"	"ABTB1"	chr3	+	127395378	127396129	127395378	127395424	127396010	127396129
5312	"ENSG00000141141.10"	"DDX52"	chr17	-	35979812	35981322	35979812	35979884	35981171	35981322
5497	"ENSG00000234741.3"	"GAS5"	chr1	-	173833394	173834420	173833394	173833442	173834366	173834420
5690	"ENSG00000115446.7"	"UNC50"	chr2	+	99225041	99226502	99225041	99225189	99226105	99226502
5848	"ENSG00000176444.14"	"CLK2"	chr1	-	155233740	155234341	155233740	155233831	155234258	155234341
5887	"ENSG00000143126.7"	"CELSR2"	chr1	+	109812554	109813661	109812554	109812755	109813548	109813661
5984	"ENSG00000185189.11"	"NRBP2"	chr8	-	144915916	144918350	144915916	144917900	144918296	144918350
6117	"ENSG00000188313.8"	"PLSCR1"	chr3	-	146239330	146239840	146239330	146239488	146239619	146239840
6544	"ENSG00000085998.9"	"POMGNT1"	chr1	-	46658976	46659597	46658976	46659060	46659526	46659597
